prefix,input_text,target_text
counterspeech,এটা বাংলাদেশেই সম্ভব !( যে দেশকে Dictionary তে পৃথিবীর শ্রেষ্ট অসভ্য দেশ বলে),"বাংলাদেশ একটু সুন্দর দেশ। চারিপাশে সবুজ ধান খেত, মিষ্টি ভাষী মানুষ। আপনি গিয়ে ঘুরে আসবেন, আপনার মতামত তখন পালটে যাবে।"
counterspeech,"সারা পৃথিবীতে মুসলিম রা মার খাচ্ছে কেন? এমনকি নিজদেশেও নিজেরা নিজেরাই মারামারি করে মরছে,এর কারন কি জানেন? মুসলিমরা আতংবাদী",কিছু মুসলিমরা আতংবাদী বলেই যে আপনি সবাই কেই আতংবাদী বলবেন এটা ঠিক নয়।
counterspeech,"সারা পৃথিবীতে মুসলিম রা মার খাচ্ছে কেন? এমনকি নিজদেশেও নিজেরা নিজেরাই মারামারি করে মরছে,এর কারন কি জানেন? মুসলিমরা আতংবাদী","আপনি এটা ভুল বললেন মুসলিমরা কেনো পৃথিবীর যে কোনো ধর্মের মানুষ অন্য ধর্ম দ্বারা অপমানিত হলে তারা তাদের সন্মান রক্ষার্থে  রাগ প্রকাশ করে,কিন্তু কোন ধর্ম কি ভাবে তা প্রকাশ করে তার উপর নির্ভর করে খারাপ বা ভালোর বিচার,কেউ বুদ্ধিমানের সাথে ঠান্ডা যুদ্ধ করে কেউ আক্রোশ এর সাথে।সেখানেও দেখবেন কেউ হয়ত মারপিট ও করেছে তাই সেটা কিছু মানুষ দের উপর নির্ভর করে কোনো জাতি বা গোষ্ঠীর উপর না।"
counterspeech,তুরা হলি জারজের বাচ্চা তোমরা খানকি শেখ হাসিনার পা চাটা গোলাম,আপনি একটা দেশের প্রধানমন্ত্রী কে উদ্দেশ্য করে কটূক্তি করছেন। ভবিষ্যতে সাবধান।
counterspeech,তুরা হলি জারজের বাচ্চা তোমরা খানকি শেখ হাসিনার পা চাটা গোলাম,দেশের প্রধানমন্ত্রীকে এমন বিশ্রী ভাষায় অপমান করার জন্য আপনার জেল ও জরিমানা হতে পারে।
counterspeech,@Maimuna_Ira তুমি যে এতো বড় খানকি আগে জানতাম না 😂 😂,"আপনার ভাষা খুবই নোংরা। সকালে উঠে ভালো করে মুখ পরিষ্কার করুন, যাতে কথাও ভালো বের হয় মুখ থেকে।"
counterspeech,@Maimuna_Ira তুমি যে এতো বড় খানকি আগে জানতাম না 😂 😂,আর আপনার ভাষায় বোঝা যাচ্ছে আপনি কতো বড়ো সাহিত্যিক।
counterspeech,90% মুসলিম নেতা চোর ছাচোর ওরা নিজেদের আখের গুছাতে ব্যাস্ত .শিক্ষিত ও উমান্দার মুসলমানদের এগিয়ে আস্তে হবে রাজনীতিতে .,"আপনি যদি বলতেন বেশির ভাগ নেতারা চোর তাও মেনে নিতাম, কিন্তু আপনি মুসলিম নেতাদেরই খালি চোর বলছেন সেটা ভীষণ অন্যায়, জাত পাতের ভিত্তিতে কাউকে ছোটো করবেন না।"
counterspeech,90% মুসলিম নেতা চোর ছাচোর ওরা নিজেদের আখের গুছাতে ব্যাস্ত .শিক্ষিত ও উমান্দার মুসলমানদের এগিয়ে আস্তে হবে রাজনীতিতে .,"দয়া করে জাত পাতের ভিত্তিতে মুসলিম দের অপমান করা বন্ধ করুন, জাত পাতের ভিত্তের বৈষম্য ঠিক নয়।"
counterspeech,"ভারতে মুসলিম নির্যাতন  না হলে। ভারত কে,,,, কুত্তা দিয়া fuck করা হবে। 🖕🖕🖕🖕","ভারতের সম্পর্কে আজে বাজে মন্তব্য করার আধিকার আপনার নেই, ভেবে চিন্তে কথা বলবেন।"
counterspeech,"ভারতে মুসলিম নির্যাতন  না হলে। ভারত কে,,,, কুত্তা দিয়া fuck করা হবে। 🖕🖕🖕🖕","কোনো দেশের বিরুদ্ধে এই রকম অপমান জনক কথা, হিংস্রতা বৃদ্ধি করবে, এতে বড়ো মাপের ঝগড়া হতে পারে।"
counterspeech,"কিরে খানকি ? গর্তে ঢুকে পড়েছিস ল্যাওড়া ? তুই কেমন হিজড়ে রা, এখনো তো legal step লিনিনি আর তোর মারে ছুদি ছুদি পোয়াতি করে দিলাম ? তুই কি বহিরাগত , কেন্দ্রীয় পেট্রোলিয়াম মন্ত্রী , দেবেন্দ্র প্রধান এর আত্মীয় রাআ?  😂",আপনার ভাষায় লাগাম রাখতে শিখুন। এত গালিগালাজ করার কারণ তা খুবই ছোটো। মহিলারা ও তৃতীয় লিঙ্গের মানুষরা আপনার কি ক্ষতি করেছে যে এই অকথ্য ভাষায় গালিগালাজ করছেন?
counterspeech,"কিরে খানকি ? গর্তে ঢুকে পড়েছিস ল্যাওড়া ? তুই কেমন হিজড়ে রা, এখনো তো legal step লিনিনি আর তোর মারে ছুদি ছুদি পোয়াতি করে দিলাম ? তুই কি বহিরাগত , কেন্দ্রীয় পেট্রোলিয়াম মন্ত্রী , দেবেন্দ্র প্রধান এর আত্মীয় রাআ?  😂","আপনি কি জানেন আপনি এইরকম অশালীন ভাষায় গালমন্দ করার জন্য, আপনার বিরুদ্ধে আইনি পদক্ষেপ নেওয়া যেতে পারে।"
counterspeech,"শুধুমাত্র বারাসাতের ছেলেরাই যদি তিস্তাতে গিয়ে মূত্রত্যাগ করে তাহলেই বাংলাদেশে বন্যা হয়ে যাবে , তারা আবার বড় বড় কথা বলে।","বাংলাদেশের সম্পর্কে আজে বাজে মন্তব্য করার আধিকার আপনার নেই, ভেবে চিন্তে কথা বলবেন, আর যদি ভেবে চিন্তে কথা না বলতে পারেন তাহলে চুপ থাকুন।"
counterspeech,"শুধুমাত্র বারাসাতের ছেলেরাই যদি তিস্তাতে গিয়ে মূত্রত্যাগ করে তাহলেই বাংলাদেশে বন্যা হয়ে যাবে , তারা আবার বড় বড় কথা বলে।",আপনি কোনো দেশ সমন্ধে এইধরণের মন্তব্য করতে পারেন না। আপনি নিজের সাথে সমগ্র বারাসাত বাসী কেও ছোটো করছেন । বড় ছোট কথার বিচার না করে আপনি বরং আপনার মানসিকতা কে একটু পরিষ্কার পরিছন্ন করুন।
counterspeech,"ওহে পাকিস্তানি কুকুরেরা, তোরা বাংলা শিখলি কেমনে রে!!!!!!!!!!!!! হাউ ফানি। আমাদের বাংলা ভাষাটা আর ব্যবহার করিস না, করলে তোদের সবগুলোকে টুকরা টুকরা করে কেটে কুকুরকে খাওয়াব। তবে বোধহয় কুকুরও খেতে চাইবে না তোদের কাটা টুকরা। তোরা তোদের নিজেদের ভাষা পাকিস্তানি ভাষা ব্যবহার করতে পারিস না? বাংলা কি তোদের মানায় বল? বামুন হয়ে চাঁদে হাত দেয়ার এই সাহস কোথায় পাইলি রে তোরা?","পাকিস্তানের লোকেরাও কিন্তু মানুষ, আপনার সাহস কি ভাবে হয় ওদের কে কুকুর বলার ? কখনো ভেবে দেখছেন, আপনাকে কেউ এরকম বললে কেমন লাগতে পারে ?"
counterspeech,"ওহে পাকিস্তানি কুকুরেরা, তোরা বাংলা শিখলি কেমনে রে!!!!!!!!!!!!! হাউ ফানি। আমাদের বাংলা ভাষাটা আর ব্যবহার করিস না, করলে তোদের সবগুলোকে টুকরা টুকরা করে কেটে কুকুরকে খাওয়াব। তবে বোধহয় কুকুরও খেতে চাইবে না তোদের কাটা টুকরা। তোরা তোদের নিজেদের ভাষা পাকিস্তানি ভাষা ব্যবহার করতে পারিস না? বাংলা কি তোদের মানায় বল? বামুন হয়ে চাঁদে হাত দেয়ার এই সাহস কোথায় পাইলি রে তোরা?","সবার ওপর মানুষ সত্য, তাহার ওপর কেউ নাই। একে অপরকে গালি গালিগালাজ বন্ধ করুন এবং বন্ধুপ্রীতি সম্পর্ক গড়ে তুলুন।"
counterspeech,"Nobel কে পাবে সেটা কি তোর খানকি মা ঠিক করে রে যমের অরুচি ?😂 দুটো প্রশ্ন করছি ।  ভোটের পর দিদির ফুঁটোর ফেদা চাটার কাজ করবি ?  আজ দুপুরে আমার গু না তোর কোন একটা বাপের হাগা গোবর খাবি ?  শালা , জাতমুর্খ tweeter চদাতে এসেছে । হিজরে বুড়ো ভাম ।","আপনার মুখের ভাষা অত্যন্ত নোংরা এবং জঘন্য, আপনারও তো মা আছে, আপনার লজ্জা করে না অন্য কারোর মায়ের সম্পর্কে এই রকম কথা বলতে ? সম্মান দিয়ে কথা বলতে শিখুন।"
counterspeech,"Nobel কে পাবে সেটা কি তোর খানকি মা ঠিক করে রে যমের অরুচি ?😂 দুটো প্রশ্ন করছি ।  ভোটের পর দিদির ফুঁটোর ফেদা চাটার কাজ করবি ?  আজ দুপুরে আমার গু না তোর কোন একটা বাপের হাগা গোবর খাবি ?  শালা , জাতমুর্খ tweeter চদাতে এসেছে । হিজরে বুড়ো ভাম ।","অন্যকে গালি দেওয়া বন্ধ করুন, নিজের মুখের ভাষা ঠিক করুন।"
counterspeech,"এইরকম লেখে,বাচ্চারা।তুই তো তোর বেশ্যা মায়ের ফুটো ফেটে কবেই বেড়িয়ে ছিস।চুল পেকে গেছে,টাক পরে গেছে কিন্তু তোর বিকলাঙ্গ ভাবটা যাইনি।ওরে খানকি,তোর copy paste প্রশ্নের উত্তর পেলি না,legal কিছু করলিও না,উল্টে তোর মড়া বাপ মা কে চোদাচ্ছি।  কিছুতো কর,ল্যাওড়া 😂 😂",আপনি মানুষ হিসেবে খুবই খারাপ। শারীরিক বিকলাঙ্গতা কাটানো যায়। আপনি মানসিক বিকলাঙ্গ। আপনাকে সারিয়ে তোলা মুশকিল।
counterspeech,"এইরকম লেখে,বাচ্চারা।তুই তো তোর বেশ্যা মায়ের ফুটো ফেটে কবেই বেড়িয়ে ছিস।চুল পেকে গেছে,টাক পরে গেছে কিন্তু তোর বিকলাঙ্গ ভাবটা যাইনি।ওরে খানকি,তোর copy paste প্রশ্নের উত্তর পেলি না,legal কিছু করলিও না,উল্টে তোর মড়া বাপ মা কে চোদাচ্ছি।  কিছুতো কর,ল্যাওড়া 😂 😂",কোনো মানুষের শারীরিক অক্ষমতা নিয়ে মন্তব্য না করাই উচিত তবুও আপনি যখন করেছেন তখন বলি আপনার উচিত ছিল তাকে যথাসাধ্য সাহায্য করা তাহলে অন্তত আপনার মানসিক বিকলাঙ্গতার পরিচয় সমাজ পেতোনা। আপনি এতটাই মানসিক ভাবে অসুস্থ যে আপনি তার মৃত মা বাবা কেও অসম্মান করছেন  তার সাথে তাদের বৃদ্ধ ছেলে কেও কিছু তো মানবিকতা রাখুন।
counterspeech,"এই গুদ মারানি , রেনডীর বাচ্ছা । শালা, খানকি বলতে পারেনা কোন গোয়ালে থাকে ? ২রা মের পর তুই যদি এক বাপের বেটা হোস তবে ঠিকানা দিবি , ঘরে ঢুকে বোঝাবো মোটভাই কাকে বলে , বেশ্যার বাচ্ছা । হিজরে মাগি চুরি পরে , ঘরে বসে জোড়াফুল মাড়াচ্ছে ।",রাজনৈতিক দলের মধ্যে ঝগড়া বিবাদ স্বাভাবিক। কিন্তু তা গালিগালাজ করে সীমা ছাড়িয়ে যাবেন না।
counterspeech,"এই গুদ মারানি , রেনডীর বাচ্ছা । শালা, খানকি বলতে পারেনা কোন গোয়ালে থাকে ? ২রা মের পর তুই যদি এক বাপের বেটা হোস তবে ঠিকানা দিবি , ঘরে ঢুকে বোঝাবো মোটভাই কাকে বলে , বেশ্যার বাচ্ছা । হিজরে মাগি চুরি পরে , ঘরে বসে জোড়াফুল মাড়াচ্ছে ।",সমাজের প্রতি আপনার নৈতিক দায়িত্ব আছে। ওই জায়গায় এভাবে কথা বলতে থাকলে ভবিষ্যৎ প্রজন্ম কী শিখবে?
counterspeech,"ওই বেশ্যারবেটা,EVMএ কারচুপি করে দেখাবার জন্য যখন EC open challenge দিয়েছিল তখন তোরা কি মায়ের গুদে লুকিয়ে রেনডীর বাচ্ছা?মুর্খচোদা ঢপবাজ,দুলাইন ইংরাজী লিখতে পারে না আবার Techno তে MCA পড়ায় ল্যাওড়াচোদা জন্ম ভিখারী!কোথায় থাকিস বলতে পারিস না,শালা পেঁচাচোদা।","আপনার মুখের ভাষা অত্যন্ত নোংরা এবং জঘন্য, আপনার ভিন্ন মত হতেই পারে, তাই বলে আপনার অধিকার নেই কারোর মায়ের সম্পর্কে এই রকম কুরুচি কর মন্তব্য করা,  সবাইকে সম্মান দিয়ে কথা বলতে শিখুন।"
counterspeech,"ওই বেশ্যারবেটা,EVMএ কারচুপি করে দেখাবার জন্য যখন EC open challenge দিয়েছিল তখন তোরা কি মায়ের গুদে লুকিয়ে রেনডীর বাচ্ছা?মুর্খচোদা ঢপবাজ,দুলাইন ইংরাজী লিখতে পারে না আবার Techno তে MCA পড়ায় ল্যাওড়াচোদা জন্ম ভিখারী!কোথায় থাকিস বলতে পারিস না,শালা পেঁচাচোদা।","আপনার মুখের ভাষা খুবই নোংরা এবং ঘৃণ্য, আপনার ভিন্ন মতামত থাকতে পারে, তাও কারো মা সম্পর্কে এমন অশ্লীল মন্তব্য করার অধিকার আপনার নেই, সবার প্রতি শ্রদ্ধার সাথে কথা বলতে শিখুন।"
counterspeech,দেশি কলেজের খানকি মাগি...।,মুখের ভাষা ঠিক করুন ।
counterspeech,দেশি কলেজের খানকি মাগি...।,"বন্ধু, এই ধরনের অপ্রাসঙ্গিক পোস্ট না দিয়ে সমাজের জন্য ভালো কিছু করার চেষ্টা করুন ।"
counterspeech,  @Maimuna_Ira তুই তো একটা খানকি তা তো তোর পোষ্ট দেখেয় বুঝা যায় তুই আগে নিজে ঠিক হ পরে না হয় অন্য কারো উপর আঙ্গুল তুলিস,কারোর মুখের ভাষা ঠিক করতে গিয়ে নিজের মুখের ভাষা খারাপ করে লাভ নেই। মূর্খের সাথে তর্ক করতে নেই।
counterspeech,  @Maimuna_Ira তুই তো একটা খানকি তা তো তোর পোষ্ট দেখেয় বুঝা যায় তুই আগে নিজে ঠিক হ পরে না হয় অন্য কারো উপর আঙ্গুল তুলিস,"কেউ অনৈতিক পোস্ট করলে প্রতিবাদ অবশ্যই করবেন, সেটি ভালো কথা। কিন্তু গালিগালাজ করলে প্রতিবাদের মান কমে যায়।"
counterspeech,"তুই আমাকে দিয়ে তোর মাকে চোদাতে চেয়ে disappointed ?? 😂 রাতের ডিনারে একবাটি মাখামাখা নাকের পোঁটা পাঠালাম , চেটে মেরে দিসরে বাল ছিঁড়ে আঁটি বাঁধা বিপ্লবী, কদিন পরতো বুকে পেটে খালি লাথিই খাবিরে শূয়রের বাচ্চা  ।😂",বিশ্বে ক্রমশ করোনা ছড়াচ্ছে। দয়া করে নিজের দৈহিক আবর্জনার ব্যবস্থা নিজেই করুন। আর নারীদের প্রতি শ্রদ্ধা না রাখলে কোনদিন আপনার নিজের পরিবারই আপনাকে ত্যাগ না করে দেয়।
counterspeech,"তুই আমাকে দিয়ে তোর মাকে চোদাতে চেয়ে disappointed ?? 😂 রাতের ডিনারে একবাটি মাখামাখা নাকের পোঁটা পাঠালাম , চেটে মেরে দিসরে বাল ছিঁড়ে আঁটি বাঁধা বিপ্লবী, কদিন পরতো বুকে পেটে খালি লাথিই খাবিরে শূয়রের বাচ্চা  ।😂",আপনি এই উলেক্ষিত খাবার গুলো তারমানে নিজেও খান? অবিশ্বাস্য ব্যাপার।
counterspeech,মাগিদের ভাল বলতে কিছু নেই সব দুই নাম্বার খানকি,"যার যে নাম্বারই থাকুক, আপনি তো গালিগালাজ না করলেও পারতেন।"
counterspeech,মাগিদের ভাল বলতে কিছু নেই সব দুই নাম্বার খানকি,"আপনার মন্তব্য শুনে বোঝা যাছে আপনি গণিত ভালোই জানেন,তা গণিতের সাথে মানবিকতার ও একটু শিক্ষা নিতেন তাহলে হয়তো ভালো হত।"
counterspeech,"Good , এইতো বেশী করে লিখেছিস রে হারেমের হারামি । 😂 😂 😂 😂 Zamato তে এক বাটি ঘন সর্দি কফ পাঠালাম , খেয়ে নিস , বুদ্ধি বাড়বে রে  হিজরেওলী 😂 😂 ।  তোর বাংলা alphabet download করা নেই ? Download মানে জানিস তো ? ভাবছি তোর মুখ দিয়ে পায়খানার প্যান করব 😂",আপনার মনের নোংরা এতটাই বেশি যে সেটা দৈহিক বর্জ্য হিসেবে বেরোচ্ছে??
counterspeech,"Good , এইতো বেশী করে লিখেছিস রে হারেমের হারামি । 😂 😂 😂 😂 Zamato তে এক বাটি ঘন সর্দি কফ পাঠালাম , খেয়ে নিস , বুদ্ধি বাড়বে রে  হিজরেওলী 😂 😂 ।  তোর বাংলা alphabet download করা নেই ? Download মানে জানিস তো ? ভাবছি তোর মুখ দিয়ে পায়খানার প্যান করব 😂",আপনার মতো কিছু লোকজনের জন্যই তৃতীয় লিঙ্গের মানুষরা সমাজে সম্মান পায়না।
counterspeech,"কবে নিবিরে গুদ মারানি?তুই এসব legal টিগাল বলে কি আমাকে block করে দিবি নাকিরে খানকি?2রা মে পর তোর গ্যাঁড় ফাটাবো।শোনরে বোকাচোদা,এগুলো cyber crimeএর মধ্যে পড়ে কিনা আগে salt lake cyber crime office এ খোঁজ নে।😂  আর এতগুলো বালের reply দিসরে কেনরে হারামির বাচ্ছা?","ভোটের সময় বহু মানুষ রাজনৈতিক দলের সমর্থন করতে গিয়ে, অনেক নোংরামি করে ফেলেন। এত বাড়াবাড়ি করা ঠিক নয়।"
counterspeech,"কবে নিবিরে গুদ মারানি?তুই এসব legal টিগাল বলে কি আমাকে block করে দিবি নাকিরে খানকি?2রা মে পর তোর গ্যাঁড় ফাটাবো।শোনরে বোকাচোদা,এগুলো cyber crimeএর মধ্যে পড়ে কিনা আগে salt lake cyber crime office এ খোঁজ নে।😂  আর এতগুলো বালের reply দিসরে কেনরে হারামির বাচ্ছা?","আপনার অশ্লীল মন্তব্য সাইবার ক্রাইমের মধ্যে পরে, আর তার ফলে আপনার সাজা হতে পারে।"
counterspeech,"MCA করে copy paste করছিস হারেমের হারামি  😂 😂😂 Feeling tired ??😂 😂 শোন, মড়া ছুচোর নাড়িভুঁড়ি ভাতের সাথে মেখে খা , বুদ্ধি বাড়বে রে হিজড়ে জলঢোড়া ।😂",আপনি তো অনেক গবেষণা করেছেন দেখছি। তা আপনার বুদ্ধি বেড়েছে? এই যুগান্তকারী আবিস্কারটার কথা লোকজনকে প্রচার করেছেন।
counterspeech,"MCA করে copy paste করছিস হারেমের হারামি  😂 😂😂 Feeling tired ??😂 😂 শোন, মড়া ছুচোর নাড়িভুঁড়ি ভাতের সাথে মেখে খা , বুদ্ধি বাড়বে রে হিজড়ে জলঢোড়া ।😂",এই গবেষণার ফলাফল আমাদের দেশের বাইরে যেন না যায়। সবাই বুদ্ধিমান হয়ে যাবে তাহলে।
counterspeech,ফুটোতেএএএএএএ 😂  খুজে পাসনি কানাচুদা ?😂  আমার মাল খাওয়া বমি খাবি ?!😂,"আপনি বানান শিখুন, সত্যিই ।"
counterspeech,ফুটোতেএএএএএএ 😂  খুজে পাসনি কানাচুদা ?😂  আমার মাল খাওয়া বমি খাবি ?!😂,"মুখের ভাষা ঠিক করুন, আপনি একজন ভদ্র মানুষ এটা মনে রাখবেন সব সময়।"
counterspeech,সবার ব্যাপারে জানি না তবে আমি চাই মিমের ভোদা টা চুদে ব্যাথা করে দিতে আর সেই সময় তুমি দেখবে কিভাবে তোমার খানকি বউকে চুদছি আর নিজের ধোন খেচবে।,আপনার মন্তব্য ও মানসিকতা জঘন্য। মানুষকে উত্ত্যক্ত করে আপনি কিছু পাবেননা। উপরন্তু আপনার নিজের অসম্মান হবে।
counterspeech,সবার ব্যাপারে জানি না তবে আমি চাই মিমের ভোদা টা চুদে ব্যাথা করে দিতে আর সেই সময় তুমি দেখবে কিভাবে তোমার খানকি বউকে চুদছি আর নিজের ধোন খেচবে।,আপনার মন্তব্য বুঝিয়ে দিছে আপনি মহিলা দের সন্মান করেন না এবং খুবই ঈর্ষাকাতর।আপনার এধরণের কথা দেখে সমাজের চোখে আপনিই ছোট  হচ্ছেন।
counterspeech,"ওই তো বললাম , ওই ফুটোতে রাখা রে । আমার একবাটি পাতলা গু পাঠাবো, খাবি ?😂 দুপুরে অন্য কিছু পাঠাব , কি বলতো এঁটুলি 😂",আপনি কি খেয়েছেন যে আপনার এত পেট খারাপ হল... যে লোকজনকে জিজ্ঞেস করে যাচ্ছেন এই পাঠাবো সেই পাঠাবো। পেট খারাপ বুঝলাম কিন্তু ভাষা টা তো ভালো রাখাই যায়।
counterspeech,"ওই তো বললাম , ওই ফুটোতে রাখা রে । আমার একবাটি পাতলা গু পাঠাবো, খাবি ?😂 দুপুরে অন্য কিছু পাঠাব , কি বলতো এঁটুলি 😂",আপনি এই  নোংরা শব্দ গুলো ব্যবহার না করলেও বোধয় আপনি নিজের মনোভাব ভালো ভাবে প্রকাশ করতে পারতেন তা যখন করেন নি তখন একটা কথা বলি নোংরা ভাবনা চিন্তা করলে আপনার মন ই নোংরা হবে। আর আপনি যখন উক্ত ব্যক্তি কে এঁটুলি বলে সম্বন্ধন করেইছেন তখন বলি আপনি কেন বলুন তো ওনার পিছনে এঁটুলি হয়ে পরে আছেন  বরং আপনি ভালো কাজে মন দিন ।
counterspeech,পেট বের করে ছবি আপলোড করো  ভাবো সুন্দর লাগে 😇            পাক্কা খানকি মাগি লাগে 😎  #মহাপাপী,"পোশাক আশাক কেমন হবে সেটা ব্যক্তি তার নিজের ইচ্ছে মতো পরবে। আপনার যেমনই লাগুক না কেন, সেটা আপনার কাছে রাখতে পারেন।"
counterspeech,পেট বের করে ছবি আপলোড করো  ভাবো সুন্দর লাগে 😇            পাক্কা খানকি মাগি লাগে 😎  #মহাপাপী,সত্যিই কি আমরা সমাজে অগ্রগতির পথে হাঁটছি? নিজের মন্তব্য টা বার বার পরে বিশ্লেষণ করুন। আপনি কি আদেও ঠিক বলেছেন?
counterspeech,গোর যেই দুধ মনে হয় তো টাকায় চোদা লস  খানকি মাগি আবার আইছোস প্রেম করতে,আপনি গালিগালাজ না করে কথা বলুন। উক্ত মহিলার বিষয়ে কতটা জানেন? যে তাকে এইভাবে গালি দিচ্ছেন।
counterspeech,গোর যেই দুধ মনে হয় তো টাকায় চোদা লস  খানকি মাগি আবার আইছোস প্রেম করতে,"আপনার এই কথায় মেয়েটি অপমানিত হচ্ছেন না, আসল অপমানিত হচ্ছেন আপনি।"
counterspeech,"কোথায়  তোর প্রশ্ন , ঘাটের মড়া ?😂 এমন ঠাপিয়েছি যে এখন দু লাইন লিখতেও পারছিস না রে বুড়ো ভাম ।😂 ঠিকানা বল , একটা বর্ণপরিচয় পাঠিয়ে দি , সকালে হকারি শুরুর আগে পড়বি , আবার MCA পড়ায়,খানকি, জীবিত লাশ  😂  বিচি নেই ,অথচ কন্ডোম কিনছে বুড়ো ভাম😂","কথা বলতে ট্যাক্স কাটলে, আপনার ভালো রকম কাটতো। আর হকারদেরকে ছোটো করছেন? অন্তত তারা খেটে খায়।"
