INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION,HATE_SPEECH_Hindi,Counter_SPEECH_Hindi
10,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine powerful, white men. They are just envious, incompetent and useless.",What makes you think that women are jealous of men? What qualities do you value as a White Male?,WOMEN,V1,"तुम कौन हो? हम शक्तिशाली, श्वेत पुरुषों को कमजोर करने की कोशिश कर रहे योनि के दुष्कर्मों से गुजरते हैं। वे सिर्फ ईर्ष्यालु, अक्षम और बेकार हैं।",#VALUE!
11,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Why do we need supremacy? We are all created equal in the eyes of God.,other,V1,"मुझे हंसी कमबख्त करता है, ज्यादातर सफेद देश में गोरे सर्वोच्च क्यों नहीं होना चाहिए? सोमालिया जैसे अश्वेत देशों में काले वर्चस्व के बारे में कोई भी कैसे विलाप नहीं कर रहा है? या मैक्सिकन वर्चस्व? या भारतीय वर्चस्व? केवल हम इस कमबख्त बकवास के साथ डालते हैं।",हमें वर्चस्व की आवश्यकता क्यों है? हम सभी भगवान की नजर में समान हैं।
12,What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,We should be respectful and compassionate towards those who suffered in one of the most horrific event in the history of mankind... I think this should be remembered forever!,JEWS,V1,गाय और प्रलय के बीच क्या अंतर है? आप 70 साल बाद गाय को दूध पाना बंद कर देते हैं।,"हमें उन लोगों के प्रति सम्मानजनक और दयालु होना चाहिए, जो मानव जाति के इतिहास में सबसे भयावह घटना में से एक में पीड़ित थे ... मुझे लगता है कि इसे हमेशा के लिए याद किया जाना चाहिए!"
13,We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,"Who is 'we', surely it was men and women working together that built civilisation? Why is it you think being 'soft' is a problem? Everyone is entitled to their emotions, and men shouldn't have to 'man up'.",WOMEN,V1,"जब हमने महिलाओं को हजारों वर्षों तक बनाई और बनाए रखा, तो हमने महिलाओं को वोट करने/ध्यान देने की अनुमति दी। एक पूरी तरह से अलग ऊर्जा और विचार पैटर्न। वे कमजोर हैं और हमारे समाज को अपने भावनात्मक रूप से नरम स्तर तक पहुंचाते हैं।","'हम' कौन है, निश्चित रूप से यह पुरुष और महिलाएं एक साथ काम कर रहे थे जो सभ्यता का निर्माण करते थे? आपको क्यों लगता है कि 'नरम' होना एक समस्या है? हर कोई अपनी भावनाओं का हकदार है, और पुरुषों को 'मैन अप' नहीं करना चाहिए।"
14,"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",Which suggests that white people like to cordon off areas for themselves...,JEWS,V1,"यहूदी अपने लिए क्षेत्रों को बंद करना पसंद करते हैं, जहां किसी भी यहूदी को जाने की अनुमति नहीं है, जबकि एक साथ उनके न्यायाधीशों को सामाजिक आवास के साथ सफेद पड़ोस भरते हैं।",जो बताता है कि गोरे लोग अपने लिए क्षेत्रों को बंद करना पसंद करते हैं ...
15,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,Where is your evidence?,JEWS,V1,अल्पसंख्यक लोग गोरे लोगों से धन और शक्ति को छीनने के लिए वोट करते हैं और वे j*ws द्वारा ऐसा करने के लिए आयोजित किए जाते हैं।,आपका सबूत कहाँ है?
16,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Where are the facts?,JEWS,V1,"इज़राइल, ज़ायोनीवाद और अमेरिका का यहूदी वर्चस्ववादी नियंत्रण दुनिया में आतंकवाद, अस्थिरता और संघर्ष के मुख्य कारण हैं। अन्य सभी सिद्धांत इस परम सत्य से विविधताएं हैं।",तथ्य कहां हैं?
17,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Where are the facts?,JEWS,V1,"यहूदियों ने किया: यूएसएस लिबर्टी अटैक, द किंग डेविड होटल अटैक, न्यूयॉर्क 9/11, लंदन 7/7",तथ्य कहां हैं?
18,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",What's your proof for claiming this?,JEWS,V1,"ज़ायोनी चरमपंथी यरूशलेम में विश्वास करते हैं। उनके उद्देश्य अराजकता, नरसंहार, हत्या, अधिक शरणार्थी बनाना और यूरोप को नष्ट करना है।",यह दावा करने के लिए आपका क्या सबूत है?
19,What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this.,JEWS,V1,क्या होगा अगर हमारे पूरे सत्तारूढ़ वर्ग में जे-नियंत्रित पीडोफाइल शामिल हैं? उससे काफ़ी कुछ समझ में आ जाएगा।,यह क्या समझाएगा? यह टिप्पणी बहुत अस्पष्ट है मुझे आश्चर्य है कि क्या आपके पास कोई तथ्य है जो आपको यह आश्चर्यचकित करता है।
20,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,What makes you think that? Do you have any facts to back this up?,JEWS,V1,ग्लोबल ज्यूरी ब्रेक्सिट नहीं चाहता था और वह सब कुछ कर रहे हैं जो वे इसे तोड़फोड़ कर सकते हैं।,आपको ऐसा क्यों लगा? क्या आपके पास इसे वापस करने के लिए कोई तथ्य है?
21,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Where is the proof of this? Looks like assumptions as opposed to facts...,JEWS,V1,"यहूदियों ने किया: यूएसएस लिबर्टी अटैक, द किंग डेविड होटल अटैक, न्यूयॉर्क 9/11, लंदन 7/7",इसका प्रमाण कहां है? तथ्यों के विपरीत मान्यताओं की तरह लग रहा है ...
22,"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.",We do have to choose. It's ok to accept them both.,other,V1,"एक अमेरिकी यहूदी, एक मुस्लिम की तरह, एक बाहरी व्यक्ति है, जो अपने जन्म की जनजाति के प्रति वफादार है, सांस्कृतिक, राजनीतिक और सामाजिक मानदंडों को खत्म करने के लिए इन-ग्रुप के सदस्य के रूप में प्रस्तुत करता है। हमें चुनना नहीं है, उन दोनों से नफरत करना ठीक है।",हमें चुनना होगा। उन दोनों को स्वीकार करना ठीक है।
23,"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.","We can choose not to hate, and start to build bridges so we understand each other.",other,V1,"एक अमेरिकी यहूदी, एक मुस्लिम की तरह, एक बाहरी व्यक्ति है, जो अपने जन्म की जनजाति के प्रति वफादार है, सांस्कृतिक, राजनीतिक और सामाजिक मानदंडों को खत्म करने के लिए इन-ग्रुप के सदस्य के रूप में प्रस्तुत करता है। हमें चुनना नहीं है, उन दोनों से नफरत करना ठीक है।","हम नफरत नहीं करना चुन सकते हैं, और पुलों का निर्माण शुरू कर सकते हैं ताकि हम एक दूसरे को समझ सकें।"
24,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","We are always developing as time goes on and same sex relationships are a part of the world now, why would we not educate our children on different ways of life?",LGBT+,V1,"यूके एजुकेशन सेक्रेटरी: ‘4 साल की उम्र के सभी बच्चों में समान सेक्स रिलेशनशिप पर अनिवार्य सबक होंगे।’ - यह शिक्षा के बारे में नहीं है, यह स्वेच्छा से भ्रमित करने और बच्चों को प्रेरित करने और उन्हें अपने व्यक्तित्व को विकसित करने से रोकने के बारे में है।","हम हमेशा विकसित हो रहे हैं क्योंकि समय बीतता है और एक ही सेक्स संबंध अब दुनिया का एक हिस्सा हैं, हम अपने बच्चों को जीवन के विभिन्न तरीकों से शिक्षित क्यों नहीं करेंगे?"
25,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.","Undermine or speak their mind? Yes, women have minds and they work just as well as men's.",WOMEN,V1,"तुम कौन हो? हम योनि के दुराचारियों के बारे में बीमार हैं, जो सफेद शक्तिशाली बनाने की कोशिश कर रहे हैं, जब वे खुद सिर्फ ईर्ष्यालु, अक्षम और बेकार होते हैं।","अपने मन को कम या बोलो? हां, महिलाओं के दिमाग हैं और वे पुरुषों के साथ -साथ काम भी करते हैं।"
26,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",To work with people from different backgrounds and different opinions is promoting free speech. If there wasn't free speech for everyone you couldn't express how you feel.,other,V1,"यूके सरकार ने हाल ही में 'ऑनलाइन हार्म्स' पर एक पेपर प्रकाशित किया है-दूसरे शब्दों में वे इंटरनेट को सेंसर करने के लिए यहूदी और मुस्लिम विरोधी घृणा संगठनों के साथ काम करने जा रहे हैं। (मामा, सीएसटी और स्टॉप हेट यूके को बताने का जिक्र करते हुए)","विभिन्न पृष्ठभूमि के लोगों के साथ काम करने के लिए और अलग -अलग राय मुक्त भाषण को बढ़ावा दे रही है। अगर हर किसी के लिए मुफ्त भाषण नहीं था, तो आप यह नहीं व्यक्त कर सकते कि आप कैसा महसूस करते हैं।"
27,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),To recognise and accept practices that we don't take part in isn't state inforcement. It's just stating facts and stopping persecution of people who have different preferences.,LGBT+,V1,"कब से गुदा को एक सेक्स अंग के रूप में गाली देना एक 'स्मारकीय उपलब्धि' है? यह राज्य लागू समलैंगिकता है! हो सकता है कि हमें अपने आदर्श वाक्य को usury और सोडोमी में बदलना चाहिए, हम भरोसा करते हैं (बोत्सवाना के जवाब में समलैंगिकता को कम करना)",उन प्रथाओं को पहचानने और स्वीकार करने के लिए जिन्हें हम राज्य में भाग नहीं लेते हैं। यह सिर्फ तथ्यों को बता रहा है और उन लोगों के उत्पीड़न को रोक रहा है जिनकी अलग -अलग प्राथमिकताएं हैं।
28,"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","To have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics",WOMEN,V1,"यही कारण है कि महिलाएं राजनीति में नहीं हैं, अगर कोई पुरुष उनकी तरह शिकायत करता है, तो उसे कायर कहा जाता है और कहा जाता है कि वह नरक को नौकरी से बाहर निकालें। समानता एक झूठ है और नारीवाद किसी भी सभ्यता के लिए मौत की सजा है।","अधिक सकारात्मक राजनीतिक वातावरण, सभी प्रकार के लोगों की समावेशिता और प्रतिनिधित्व आवश्यक है, इसलिए महिलाएं राजनीति में हैं"
29,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"this is correct, but their percentage of the population within Great Britain makes them a minority",MIGRANTS,V1,पाकिस्तान: 202 मिलियन नाइजीरिया: 193 मिलियन बांग्लादेश: 165 मिलियन इथियोपिया: 107 मिलियन कांगो: 84 मिलियन ग्रेट ब्रिटेन: 66 मिलियन 'एथनिक अल्पसंख्यक' मुझे हंसी नहीं बनाते हैं!,#VALUE!
30,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","This is about teaching children about the world they live in, and helping them get on with others.",LGBT+,V1,"यूके एजुकेशन सेक्रेटरी: ‘4 साल की उम्र के सभी बच्चों में समान सेक्स रिलेशनशिप पर अनिवार्य सबक होंगे।’ - यह शिक्षा के बारे में नहीं है, यह स्वेच्छा से भ्रमित करने और बच्चों को प्रेरित करने और उन्हें अपने व्यक्तित्व को विकसित करने से रोकने के बारे में है।",#VALUE!
31,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"These groups tend to be a minority in Britian. Either way, everyone deserves respect and protection and human rights.",MIGRANTS,V1,पाकिस्तान: 202 मिलियन नाइजीरिया: 193 मिलियन बांग्लादेश: 165 मिलियन इथियोपिया: 107 मिलियन कांगो: 84 मिलियन ग्रेट ब्रिटेन: 66 मिलियन 'एथनिक अल्पसंख्यक' मुझे हंसी नहीं बनाते हैं!,"ये समूह ब्रिटियन में अल्पसंख्यक होते हैं। किसी भी तरह से, हर कोई सम्मान और संरक्षण और मानवाधिकारों के योग्य है।"
32,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"These are numbers of residents in countries, not ethnic grouping.",MIGRANTS,V1,पाकिस्तान: 202 मिलियन नाइजीरिया: 193 मिलियन बांग्लादेश: 165 मिलियन इथियोपिया: 107 मिलियन कांगो: 84 मिलियन ग्रेट ब्रिटेन: 66 मिलियन 'एथनिक अल्पसंख्यक' मुझे हंसी नहीं बनाते हैं!,"ये देशों में निवासियों की संख्या हैं, न कि जातीय समूहीकरण।"
33,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",There are more than enough empty homes in this country right now to house every single homeless person. There is also more than enough wealth in this country to build new homes. We CAN house our ‘own people’ but the government chooses not to. Homelessness is an issue of wealth inequality not migration – if you genuinely care about poverty issues like homelessness you need to be questioning power structures and wealth distribution.,MIGRANTS,V1,"इसे पूर्वी लंदन के वानस्टेड में लिया। £ 1m+ घरों के साथ एक क्षेत्र। उच्च सेंट पर भिखारी और एक बेंच पर सो रहे किसी व्यक्ति। हम अपने स्वयं के लोगों को घर नहीं ले सकते, लेकिन लाखों में ला सकते हैं। यह बताने के लिए कि बेघर होना अनियंत्रित आव्रजन के कारण है, जिसे 'नस्लवादी' के रूप में धब्बा दिया जाना है। (एक भाग बेंच पर सो रहे एक बेघर व्यक्ति की तस्वीर के लिए कैप्शन)","इस देश में अभी हर एक बेघर व्यक्ति को घर देने के लिए पर्याप्त खाली घर हैं। नए घरों के निर्माण के लिए इस देश में पर्याप्त धन भी है। हम अपने 'अपने लोगों' को घर दे सकते हैं, लेकिन सरकार नहीं चुनती है। बेघरपन धन असमानता का एक मुद्दा है, प्रवासन नहीं है - यदि आप वास्तव में गरीबी के मुद्दों के बारे में परवाह करते हैं जैसे कि बेघर होना आपको बिजली संरचनाओं और धन वितरण पर सवाल उठाने की आवश्यकता है।"
34,"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",The womenfolk appear to have wisdom and not a little heart.,WOMEN,V1,"जब आप जानवरों ने दुनिया को बर्बाद कर दिया है और एक -दूसरे को खा रहे हैं, क्योंकि यह सब आप के लिए अच्छे हैं, तो हम अभी भी यहां रहेंगे, अपने ब्लडलाइंस को सभी बाधाओं के खिलाफ शुद्ध रखते हुए, उस दिन पर पछतावा करते हुए जब हमने महिलाओं को ध्यान दिया और अपनी एड़ी को अपनी एड़ी ले ली। गला।",महिलाओं के पास ज्ञान है और थोड़ा दिल नहीं है।
35,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"The US is the second most polluting country in the world - as the world’s biggest industrial and commercial power. We are all to blame here and need to work hand in hand to create sustainable change, as opposed to pointing the finger to others.",other,V1,हो सकता है कि संयुक्त राष्ट्र उन एशियाई और अफ्रीकी देशों से बात कर सकता है जो जलवायु परिवर्तन के बारे में इस बकवास पर जोर देने के बजाय महासागरों में 90%+ प्रदूषण के लिए जिम्मेदार हैं।,"अमेरिका दुनिया का दूसरा सबसे प्रदूषणकारी देश है - दुनिया की सबसे बड़ी औद्योगिक और वाणिज्यिक शक्ति के रूप में। हम सभी को यहां दोष देने के लिए हैं और स्थायी परिवर्तन बनाने के लिए हाथ से काम करने की आवश्यकता है, जैसा कि दूसरों को उंगली को इंगित करने के विपरीत है।"
36,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"The ultra rich people in this industry - Jewish or not - have the power and influence. Not sure where you got your facts from regarding Jewish people ""controlling"" Hollywood.",JEWS,V1,फिल्मों पर प्रतिबंध लगाने की उनकी शक्ति और निर्देशकों को सेंसर किया गया है कि यहूदी हॉलीवुड को नियंत्रित करते हैं।,"इस उद्योग में अल्ट्रा अमीर लोग - यहूदी या नहीं - शक्ति और प्रभाव है। यह सुनिश्चित नहीं है कि आपको यहूदी लोगों को ""हॉलीवुड"" को नियंत्रित करने के बारे में अपने तथ्य कहां से मिले।"
37,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"The term 'feminism' is fighting for equal rights of ALL sexes, you may find that you too identify as a feminist. Maybe try some of the following sites to find out more on how the feminist movement can benefit you: feminist.com, read more on the 'man up campaign' on Mind.org.uk",WOMEN,V1,नारीवादियों ने जीत हासिल की है। इतनी सारी महिलाओं को खरीदने के लिए अनिच्छुक होने के साथ हमें बदल दिया जाएगा और सभ्यता को खो दिया जाएगा।,"'नारीवाद' शब्द सभी लिंगों के समान अधिकारों के लिए लड़ रहा है, आप पा सकते हैं कि आप भी एक नारीवादी के रूप में पहचान करते हैं। हो सकता है कि निम्नलिखित साइटों में से कुछ को यह पता लगाने के लिए कि नारीवादी आंदोलन आपको कैसे लाभान्वित कर सकता है: Feminist.com, mind.org.uk पर 'मैन अप अभियान' पर और पढ़ें"
38,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",The patriarchy is not man's friend. Boys and men are told to be tough and to bear many burdens without being able to show any emotions or to talk about their struggles. This has led to great levels of suicide amoungst men. It is a question of survival and happiness to accept our differences and similarities and to work together.,WOMEN,V1,"महिलाएं मूल रूप से बचपन की तरह हैं, वे इस तरह से अपने जीवन के अधिकांश हिस्सों में बनी हुई हैं। नरम और भावनात्मक। इसने हमारी एक बार महान पितृसत्तात्मक सभ्यताओं को तबाह कर दिया है।",पितृसत्ता आदमी का दोस्त नहीं है। लड़कों और पुरुषों को सख्त होने के लिए कहा जाता है और किसी भी भावनाओं को दिखाने या उनके संघर्षों के बारे में बात करने में सक्षम होने के बिना कई बोझ सहन करने के लिए कहा जाता है। इसने आत्मघाती लोगों के महान स्तरों को जन्म दिया है। यह हमारे मतभेदों और समानता को स्वीकार करने और एक साथ काम करने के लिए अस्तित्व और खुशी का सवाल है।
39,The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,The Nazi killing machine was all too efficient. Survivors lost so much and braved terror and cruelty. They should be celebrated.,JEWS,V1,नाजियों ने यहूदियों को मारने पर चूसा ... हर जगह आप एक होलोकॉस्ट सर्वाइवर दिखते हैं।,नाजी किलिंग मशीन सभी बहुत कुशल थी। बचे लोगों ने इतना खो दिया और आतंक और क्रूरता को कम कर दिया। उन्हें मनाया जाना चाहिए।
40,The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,The murder of around 6 million Jews shows the scale of the genocide. This is 6 million more than should have ever happened.,JEWS,V1,नाजियों ने यहूदियों को मारने पर चूसा ... हर जगह आप एक होलोकॉस्ट सर्वाइवर दिखते हैं।,"लगभग 6 मिलियन यहूदियों की हत्या नरसंहार के पैमाने को दर्शाती है। यह 6 मिलियन अधिक है, जो कभी भी होना चाहिए था।"
41,"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","The Jews suffered horribly in the Holocaust, as did many other groups.Reparation is a small step to enable suffering people to rebuild their lives. Common humanity, surely?",JEWS,V1,"होलोकॉस्ट' एक व्यवसाय है। यह अभी भी पुनर्मूल्यांकन में यूरोपीय देशों से लाखों को बाहर निकालने के लिए और आलोचना से मुक्त, यहूदी के साथ काम कर सकते हैं, जो आलोचना से मुक्त हो सकते हैं।","यहूदियों को प्रलय में बुरी तरह से पीड़ित किया गया था, जैसा कि कई अन्य समूहों ने किया था। लोगों को पीड़ित लोगों को अपने जीवन का पुनर्निर्माण करने में सक्षम बनाने के लिए एक छोटा कदम है। सामान्य मानवता, निश्चित रूप से?"
