INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION,HATE_SPEECH_Beng,Counter_SPEECH_Beng
1757,Black people are a sickness and we cannot allow our children to grow up in a black dominated society.,Do you really think that racism instead is healthy in the 21st century? It's not healthy for children to learn discrimination and hate.,POC,V3,কৃষ্ণাঙ্গ মানুষ একটি অসুস্থতা এবং আমরা আমাদের বাচ্চাদের একটি কালো আধিপত্যবাদী সমাজে বড় হতে দিতে পারি না।,আপনি কি সত্যিই ভাবেন যে বর্ণবাদ পরিবর্তে একবিংশ শতাব্দীতে স্বাস্থ্যকর? শিশুদের বৈষম্য এবং ঘৃণা শেখা এটি স্বাস্থ্যকর নয়।
1758,Why should someone want to love some black people?,"Finding love is a process, that's all you need to know. Finding someone who speaks your language, culture, share your values, this is all you need.",POC,V3,কেউ কেন কিছু কালো মানুষকে ভালবাসতে চাইবে?,"প্রেম সন্ধান করা একটি প্রক্রিয়া, এটিই আপনার জানা দরকার। আপনার ভাষা, সংস্কৃতি কথা বলে এমন কাউকে সন্ধান করা, আপনার মূল্যবোধগুলি ভাগ করে নেওয়া, এটি আপনার প্রয়োজন।"
1759,"I see a lot of people claiming that we should have equality for black people, but I think that equality can be achieved only without them.","If this is what you are talking about, then equality is a myth, because if you have equality without people different from you, then there will be no equality at all.",POC,V3,"আমি অনেক লোককে দাবি করছি যে আমাদের কৃষ্ণাঙ্গদের জন্য সমতা থাকা উচিত, তবে আমি মনে করি যে কেবল তাদের ছাড়া সমতা অর্জন করা যায়।","আপনি যদি এই বিষয়ে কথা বলছেন, তবে সমতা একটি কল্পকাহিনী, কারণ আপনার যদি মানুষ ছাড়া আলাদা সমতা থাকে তবে কোনও সমতা থাকবে না।"
1760,Niggas use their appearance to get away with anything.,I think we all know that's not true. I've met countless black people who were nice to me and treated me with respect. What is the evidence for what you're saying?,POC,V3,নিগাস যে কোনও কিছু নিয়ে পালাতে তাদের উপস্থিতি ব্যবহার করে।,আমি মনে করি আমরা সবাই জানি যে এটি সত্য নয়। আমি অগণিত কৃষ্ণাঙ্গ লোকের সাথে দেখা করেছি যারা আমার সাথে ভাল লাগছিল এবং আমার সাথে শ্রদ্ধার সাথে আচরণ করেছিল। আপনি যা বলছেন তার প্রমাণ কী?
1761,Any African person could go back to its country. It is a choice to stay here and ruin our lives.,Any person can be a racist: it is a choice as well.,POC,V3,যে কোনও আফ্রিকান ব্যক্তি তার দেশে ফিরে যেতে পারে। এটি এখানে থাকতে এবং আমাদের জীবন নষ্ট করা পছন্দ।,যে কোনও ব্যক্তি বর্ণবাদী হতে পারে: এটিও একটি পছন্দ।
1762,Wouldn't it be great if niggas abandoned this country once and for all?,It is not so great when people are forced to give up their liberty.,POC,V3,নিগাস যদি একবারে এবং সবার জন্য এই দেশটি ত্যাগ করে তবে কি দুর্দান্ত হবে না?,লোকেরা যখন তাদের স্বাধীনতা ত্যাগ করতে বাধ্য হয় তখন এটি এত বড় নয়।
1763,A nigger has no right to life,"Not the best definition of 'white privilege' I've seen, but keep trying...",POC,V3,একটি নিগ্রার জীবনের কোন অধিকার নেই,"আমি দেখেছি 'হোয়াইট প্রিভিলেজ' এর সেরা সংজ্ঞা নয়, তবে চেষ্টা চালিয়ে যান ..."
1764,the nigger has no right to life,The right to life for black people is the same as the right to life for any other race: it should be respected.,POC,V3,নিগ্রার জীবনের কোন অধিকার নেই,কৃষ্ণাঙ্গদের জন্য জীবনের অধিকার অন্য যে কোনও জাতির জন্য জীবনের অধিকারের সমান: এটি সম্মান করা উচিত।
1765,we are strong when we are all white and united. we are not strong when we are divided by black people who want to fight us.,"We can also see conflict in a different light, such as when it is caused by racism. and a limited notion of 'unity'?",POC,V3,আমরা যখন সবাই সাদা এবং united ক্যবদ্ধ হই তখন আমরা শক্তিশালী। আমরা যখন আমাদের সাথে লড়াই করতে চান তাদের দ্বারা বিভক্ত হয়ে আমরা শক্তিশালী নই।,"আমরা একটি ভিন্ন আলোতে বিরোধও দেখতে পারি, যেমন এটি বর্ণবাদ দ্বারা সৃষ্ট। এবং 'unity ক্য' এর একটি সীমিত ধারণা?"
1766,"We must overthrow the existing state, and replace it with a white suprematist one.","There are many conflicts and problems to be solved, and racism is not an answer for them. The law was created as a means for society to solve those conflicts, and it accepts people of different colours as citizens.",other,V3,আমাদের অবশ্যই বিদ্যমান রাষ্ট্রকে উৎখাত করতে হবে এবং এটি একটি সাদা আধিপত্যবাদী দিয়ে প্রতিস্থাপন করতে হবে।,অনেকগুলি দ্বন্দ্ব এবং সমস্যা সমাধানের জন্য রয়েছে এবং বর্ণবাদ তাদের পক্ষে কোনও উত্তর নয়। আইনটি সমাজের এই দ্বন্দ্বগুলি সমাধান করার একটি উপায় হিসাবে তৈরি করা হয়েছিল এবং এটি বিভিন্ন রঙের মানুষকে নাগরিক হিসাবে গ্রহণ করে।
1767,Romanians should not have the right to live in the US and to bring their children in our schools.,"The Declaration of Independence gives everyone the right to ""life, liberty, the pursuit of happiness and the pursuit of education"".",other,V3,রোমানিয়ানদের মার্কিন যুক্তরাষ্ট্রে থাকার এবং তাদের বাচ্চাদের আমাদের স্কুলে আনার অধিকার থাকা উচিত নয়।,"স্বাধীনতার ঘোষণা প্রত্যেককে ""জীবন, স্বাধীনতা, সুখের সাধনা এবং শিক্ষার সাধনা"" করার অধিকার দেয়।"
1768,The Roma are not my brothers.,"The Roma do not deserve hatred, discrimination and violence.",other,V3,রোমা আমার ভাই নয়।,"রোমা ঘৃণা, বৈষম্য এবং সহিংসতার প্রাপ্য নয়।"
1769,The Gypsies are not my brothers.,"Every ethnic group, regardless of its culture, can be a part of European society. The mere existence of a minority is not a reason to target it.",other,V3,জিপসিগুলি আমার ভাই নয়।,"প্রতিটি জাতিগত গোষ্ঠী, এর সংস্কৃতি নির্বিশেষে, ইউরোপীয় সমাজের একটি অংশ হতে পারে। সংখ্যালঘুদের নিছক অস্তিত্ব এটিকে লক্ষ্য করার কারণ নয়।"
1770,The Gypsies are not my brothers.,"The Gypsies have been persecuted for thousands of years. They have always been an ethnic minority facing discrimination. They are human beings, like the rest of us, and deserve to be considered as such.",other,V3,জিপসিগুলি আমার ভাই নয়।,"জিপসিগুলি হাজার হাজার বছর ধরে নির্যাতিত হয়েছে। তারা সর্বদা বৈষম্যের মুখোমুখি একটি জাতিগত সংখ্যালঘু ছিল। তারা আমাদের বাকিদের মতো মানুষ, এবং এ জাতীয় হিসাবে বিবেচিত হওয়ার যোগ্য।"
1771,The Gypsies are not my brothers.,"The persecution of the Gypsies goes back many hundreds of years and is not in anyone's interest, especially not our country.",other,V3,জিপসিগুলি আমার ভাই নয়।,"জিপসিগুলির অত্যাচার বহু শত বছর পিছিয়ে যায় এবং কারও স্বার্থে নয়, বিশেষত আমাদের দেশ নয়।"
1772,"The Gypsies are not my brothers, they are just a bunch of whining pussies.","Did you know that Gypsies were persecuted in the past by the Nazi (search for Romani Holocaust, also known as the Porajmos)? They have always fought for equal rights and we should respect them.",other,V3,"জিপসিগুলি আমার ভাই নয়, তারা কেবল একগুচ্ছ ঝোঁকযুক্ত পুসি।","আপনি কি জানেন যে জিপসিগুলি অতীতে নাৎসিদের দ্বারা নির্যাতিত হয়েছিল (রোমানি হলোকাস্টের সন্ধান, যা পোরাজমোস নামেও পরিচিত)? তারা সর্বদা সমান অধিকারের জন্য লড়াই করেছে এবং আমাদের তাদের সম্মান করা উচিত।"
1773,"Women are weak, they have no intervention capacity in their own life.","In every society and culture there are women who are strong, independent and capable of leading a good life.",WOMEN,V3,"মহিলারা দুর্বল, তাদের নিজের জীবনে কোনও হস্তক্ষেপের ক্ষমতা নেই।","প্রতিটি সমাজ এবং সংস্কৃতিতে এমন মহিলারা আছেন যারা শক্তিশালী, স্বাধীন এবং একটি ভাল জীবনযাপন করতে সক্ষম।"
1774,We must establish male supremacy in society.,"This is a myth which has been used to justify all manner of hatred, from misogyny to homophobia.",WOMEN,V3,আমাদের অবশ্যই সমাজে পুরুষ আধিপত্য প্রতিষ্ঠা করতে হবে।,এটি একটি কল্পকাহিনী যা মিসোগিনি থেকে হোমোফোবিয়া পর্যন্ত সমস্ত ধরণের বিদ্বেষকে ন্যায়সঙ্গত করার জন্য ব্যবহৃত হয়েছে।
1777,We must establish male supremacy in society.,"Only a handful of people don't have any respect for women, and you seem to be one of them.",WOMEN,V3,আমাদের অবশ্যই সমাজে পুরুষ আধিপত্য প্রতিষ্ঠা করতে হবে।,কেবল মুষ্টিমেয় লোকের মহিলাদের প্রতি কোনও সম্মান নেই এবং আপনি তাদের মধ্যে অন্যতম বলে মনে করছেন।
1779,"If a woman does not want to be a homemaker, then she is unfeminine and a bitch.",Women like that are not unfeminine or bitchy. They just might want to do something else other than housework and taking care of kids.,WOMEN,V3,যদি কোনও মহিলা গৃহকর্মী হতে না চান তবে তিনি অনিরাপদ এবং দুশ্চরিত্রা।,এর মতো মহিলারা অনর্থক বা দুশ্চরিত্রা নয়। তারা কেবল বাড়ির কাজ এবং বাচ্চাদের যত্ন নেওয়া ছাড়া অন্য কিছু করতে চাইতে পারে।
1780,"If a woman does not want to be a homemaker, then she is unfeminine and a bitch.",Women don't have to learn what to do through lectures dictated by the patriarchy and the oppression of women.,WOMEN,V3,যদি কোনও মহিলা গৃহকর্মী হতে না চান তবে তিনি অনিরাপদ এবং দুশ্চরিত্রা।,পিতৃতন্ত্র এবং মহিলাদের নিপীড়নের দ্বারা নির্ধারিত বক্তৃতার মাধ্যমে মহিলাদের কী করতে হবে তা শিখতে হবে না।
1782,If women wanted to control their fertility they would be prostitutes.,"If women want to control their fertility they have the right to do it, because they are free to make choices for their own lives.",WOMEN,V3,মহিলারা যদি তাদের উর্বরতা নিয়ন্ত্রণ করতে চান তবে তারা পতিতা হবে।,"মহিলারা যদি তাদের উর্বরতা নিয়ন্ত্রণ করতে চান তবে তাদের এটি করার অধিকার রয়েছে, কারণ তারা তাদের নিজের জীবনের জন্য পছন্দ করতে নির্দ্বিধায়।"
1783,Women should not be allowed to vote,"Women should be allowed to vote and to have equal rights, as it is stated in the Constitution.",WOMEN,V3,মহিলাদের ভোট দেওয়ার অনুমতি দেওয়া উচিত নয়,সংবিধানে বর্ণিত হিসাবে মহিলাদের ভোট দেওয়ার এবং সমান অধিকার থাকতে দেওয়া উচিত।
1784,Women should not be allowed to vote,"I'm not sure about how the rights of people in other countries work, but if women want to vote in the UK then they are allowed to do so, thank goodness.",WOMEN,V3,মহিলাদের ভোট দেওয়ার অনুমতি দেওয়া উচিত নয়,"অন্যান্য দেশের মানুষের অধিকার কীভাবে কাজ করে সে সম্পর্কে আমি নিশ্চিত নই, তবে মহিলারা যদি যুক্তরাজ্যে ভোট দিতে চান তবে তাদের তা করার অনুমতি দেওয়া হয়, মঙ্গলকে ধন্যবাদ জানাই।"
1786,Women should not be allowed to vote,"The majority can and should choose who they want to represent them, and this majority is made of men as well as women.",WOMEN,V3,মহিলাদের ভোট দেওয়ার অনুমতি দেওয়া উচিত নয়,সংখ্যাগরিষ্ঠরা তাদের প্রতিনিধিত্ব করতে চায় এবং বেছে নিতে পারে এবং এই সংখ্যাগরিষ্ঠতা পুরুষদের পাশাপাশি মহিলাদের দ্বারা তৈরি।
1787,Women should not be considered in the same way as men.,The UK is a developed country. Here women have the right to claim equality before the law.,WOMEN,V3,মহিলাদের পুরুষদের মতো একইভাবে বিবেচনা করা উচিত নয়।,যুক্তরাজ্য একটি উন্নত দেশ। এখানে মহিলাদের আইনের আগে সমতা দাবি করার অধিকার রয়েছে।
1788,Women are subhuman and should not be valued.,"We live in a complex and diverse world: I find it strange that men still feel this way about women, and that they don't consider women as human as they are, and to be worth valuing as such.",WOMEN,V3,মহিলারা সাবহিউম্যান এবং মূল্যবান হওয়া উচিত নয়।,আমরা একটি জটিল এবং বৈচিত্র্যময় বিশ্বে বাস করি: আমি এটি আশ্চর্যজনক মনে করি যে পুরুষরা এখনও মহিলাদের সম্পর্কে এইভাবে অনুভব করেন এবং তারা নারীকে মানুষ হিসাবে বিবেচনা করেন না এবং এর মতো মূল্যবান বলে মনে করেন।
1789,The only objective means of achieving our goals is to promote hatred and violence towards women.,Women are oppressed and victims all over the world. It is simply not true that men must take charge of that: they are in charge of respecting women.,WOMEN,V3,আমাদের লক্ষ্য অর্জনের একমাত্র উদ্দেশ্য উপায় হ'ল মহিলাদের প্রতি ঘৃণা ও সহিংসতা প্রচার করা।,মহিলারা নিপীড়িত এবং সারা বিশ্ব জুড়ে শিকার হয়। এটি কেবল সত্য নয় যে পুরুষদের অবশ্যই এটির দায়িত্ব নিতে হবে: তারা মহিলাদের শ্রদ্ধার দায়িত্বে আছেন।
1790,"A woman's place is with her husband or her family, and feminists can't change that.","It is important to point out that feminists are not attacking the family, they are attacking the inequality society, so feminism is not so much anti-marriage as anti-oppression.",WOMEN,V3,একজন মহিলার জায়গা তার স্বামী বা তার পরিবারের সাথে রয়েছে এবং নারীবাদীরা এটি পরিবর্তন করতে পারে না।,"এটি উল্লেখ করা গুরুত্বপূর্ণ যে নারীবাদীরা পরিবারকে আক্রমণ করছে না, তারা বৈষম্য সমাজে আক্রমণ করছে, সুতরাং নারীবাদ এতটা বিবাহ বিরোধী নয় বলে মনে হয়।"
1791,"A woman is an emotional child, she is incapable of holding a job or raising a family. Feminists who say otherwise are just liars, spreading hate against men.","Well you don't know what it's like to work in a women-hating, violence-spewing, society, do you? The truth is that feminism is not about hating men, but it is about limiting the female oppression, in the same way as male oppression.",WOMEN,V3,"একজন মহিলা একটি সংবেদনশীল শিশু, তিনি চাকরি ধরে রাখতে বা পরিবারকে বড় করতে অক্ষম। নারীবাদীরা যারা অন্যথায় বলে তারা কেবল মিথ্যাবাদী, পুরুষদের বিরুদ্ধে ঘৃণা ছড়িয়ে দেয়।","আচ্ছা আপনি জানেন না যে কোনও মহিলা-ঘৃণা, সহিংসতা-স্পিউং, সমাজে কাজ করার মতো এটি কী পছন্দ করে, তাই না? সত্যটি হ'ল নারীবাদ পুরুষদের ঘৃণা করার বিষয়ে নয়, তবে এটি পুরুষ নিপীড়নের মতো একইভাবে মহিলা নিপীড়নকে সীমাবদ্ধ করার বিষয়ে।"
1792,It is OK to abuse a woman.,You cannot justify the abuse of any human being,WOMEN,V3,একজন মহিলাকে অপব্যবহার করা ঠিক আছে।,আপনি কোনও মানুষের অপব্যবহারকে ন্যায়সঙ্গত করতে পারবেন না
1794,Women are subhuman and are created to please men.,Women are not subhuman and cannot be reduced to their bodies being a man's property.,WOMEN,V3,মহিলারা সাবহিউম্যান এবং পুরুষদের সন্তুষ্ট করার জন্য তৈরি করা হয়।,মহিলারা সাবহুমান নয় এবং তাদের দেহকে পুরুষের সম্পত্তি হিসাবে হ্রাস করা যায় না।
1795,Women are incompetent and don't want to work.,That is not true. Recent research indicates that women employment's is currently at a record high of 72.4%.,WOMEN,V3,মহিলারা অক্ষম এবং কাজ করতে চান না।,ওটা সত্যি না. সাম্প্রতিক গবেষণা ইঙ্গিত দেয় যে মহিলা কর্মসংস্থান বর্তমানে 72.4%রেকর্ড উচ্চতায় রয়েছে।
1796,We're destroying the planet because women are incompetent and don't work hard enough.,"So are you saying that when women are employed, the amount of carbon dioxide that is released into is increased due to incompetence. What you are saying makes no sense!",WOMEN,V3,আমরা গ্রহটিকে ধ্বংস করছি কারণ মহিলারা অক্ষম এবং যথেষ্ট পরিশ্রম করে না।,"আপনি কি বলছেন যে মহিলারা যখন নিযুক্ত হন, তখন কার্বন ডাই অক্সাইডের পরিমাণ যা প্রকাশিত হয় তা অযোগ্যতার কারণে বৃদ্ধি করা হয়। আপনি যা বলছেন তা কোনও অর্থবোধ করে না!"
1797,"Women should stay at home and raise the children, this should be their only job.","Actually, there are a lot of women working in full-time jobs. However, they are still far less likely than men to enter such jobs, because of the existing gender discrimination supported by mentalities like yours.",WOMEN,V3,"মহিলাদের বাড়িতে থাকতে হবে এবং বাচ্চাদের বড় করা উচিত, এটি তাদের একমাত্র কাজ হওয়া উচিত।","আসলে, প্রচুর মহিলা পুরো সময়ের চাকরিতে কাজ করছেন। যাইহোক, আপনার মতো মানসিকতা দ্বারা সমর্থিত বিদ্যমান লিঙ্গ বৈষম্য থাকার কারণে তারা এই জাতীয় চাকরিতে প্রবেশের জন্য পুরুষদের চেয়ে এখনও অনেক কম সম্ভাবনা রয়েছে।"
1799,"Women are less rational than men, they are childlike, and they are unable to reason.","It is not true that women are less rational than men, there are numerous examples of women successfully advancing in fields such as law or medicine.",WOMEN,V3,"মহিলারা পুরুষদের চেয়ে কম যুক্তিযুক্ত, তারা সন্তানের মতো এবং তারা যুক্তি করতে অক্ষম।","এটি সত্য নয় যে মহিলারা পুরুষদের তুলনায় কম যুক্তিযুক্ত, আইন বা ওষুধের মতো ক্ষেত্রে সফলভাবে অগ্রসর হওয়ার অসংখ্য উদাহরণ রয়েছে।"
1800,Women shouldn't vote because they are childlike.,"Women have fought for the right to vote, and yet we are still having this conversation about them being 'childlike?"" Grow up man.",WOMEN,V3,তারা সন্তানের মতো বলে মহিলাদের ভোট দেওয়া উচিত নয়।,মহিলারা ভোট দেওয়ার অধিকারের জন্য লড়াই করেছেন এবং তবুও আমরা তাদের 'সন্তানের মতো হওয়ার বিষয়ে এই কথোপকথন করছি?
1801,"Women have no place in our society, it's a men's place.",Doesn't this just show that you're in favour of division? Women have their place in this society just as men do.,WOMEN,V3,"আমাদের সমাজে মহিলাদের কোনও স্থান নেই, এটি পুরুষদের জায়গা।",এটি কি কেবল দেখায় না যে আপনি বিভাগের পক্ষে? পুরুষরা যেমন করেন ঠিক তেমনই এই সমাজে নারীদের জায়গা রয়েছে।
1802,"Feminists are corrupt, racist and violent people.","I don't see why a people's movement that does so much good could be corrupt, racist or violent.",WOMEN,V3,"নারীবাদীরা দুর্নীতিগ্রস্থ, বর্ণবাদী এবং সহিংস মানুষ।","আমি দেখতে পাচ্ছি না যে কোনও মানুষের আন্দোলন যা এত ভাল কাজ করে তা দুর্নীতিগ্রস্থ, বর্ণবাদী বা হিংস্র হতে পারে।"
1803,Feminists are a bunch of stupid bitches that want to hurt men just because they are superior.,"Feminism is all about equality and the rights of all groups to be protected. Feminism does not discriminate and is not meant to ""hurt"" men.",WOMEN,V3,নারীবাদীরা হ'ল বোকা বিচের একগুচ্ছ যা পুরুষদের কেবল শ্রেষ্ঠ হওয়ার কারণে আঘাত করতে চায়।,"নারীবাদ হ'ল সমস্ত সমতা এবং সমস্ত গোষ্ঠীর সুরক্ষার অধিকার সম্পর্কে। নারীবাদ বৈষম্য করে না এবং পুরুষদের ""আঘাত"" দেওয়ার উদ্দেশ্যে নয়।"
1804,"Feminists are naive cunts who act like children, throwing a tantrum for something they don't have.","Feminists are often accused of being 'naive', however I have seen several instances where feminists have used their ideas to tackle complex and powerful social and economic issues.",WOMEN,V3,"নারীবাদীরা হ'ল নির্বোধ কান্ট যারা বাচ্চাদের মতো কাজ করে, তাদের কাছে নেই এমন কোনও কিছুর জন্য তন্ত্র ছুঁড়ে ফেলে।","নারীবাদীরা প্রায়শই 'নির্বোধ' বলে অভিযোগ করা হয়, তবে আমি বেশ কয়েকটি উদাহরণ দেখেছি যেখানে নারীবাদীরা তাদের ধারণাগুলি জটিল এবং শক্তিশালী সামাজিক এবং অর্থনৈতিক সমস্যাগুলি মোকাবেলায় ব্যবহার করেছেন।"
1807,"Feminism is a cult. It has corrupted the highest levels of society, and should be stopped.","Feminism is a call for equality, and it has served the world well in the past, but it has still much to fight for. Now is not the time to undermine its progress.",WOMEN,V3,নারীবাদ একটি সম্প্রদায়। এটি সমাজের সর্বোচ্চ স্তরের দূষিত হয়েছে এবং এটি বন্ধ করা উচিত।,"নারীবাদ সমতার জন্য আহ্বান, এবং এটি অতীতে বিশ্বকে ভালভাবে সেবা করেছে, তবে এর পক্ষে লড়াই করার মতো অনেক কিছুই রয়েছে। এখন তার অগ্রগতি হ্রাস করার সময় নয়।"
1808,Men should not spend time with women. It is in their best interest to remain far from their bad influence.,"According to your beliefs, men and women are different in their rights. They are not.",WOMEN,V3,পুরুষদের মহিলাদের সাথে সময় কাটাতে হবে না। তাদের খারাপ প্রভাব থেকে দূরে থাকা তাদের পক্ষে সবচেয়ে ভাল।,"আপনার বিশ্বাস অনুসারে, পুরুষ এবং মহিলা তাদের অধিকারের মধ্যে আলাদা। তারা না."
1810,There should be a restriction on asian actors in action movies. This must stop.,No one in their right mind would not want to see asian actors in action movies.The ancient tradition of Asian martial arts would be a huge loss!,other,V3,অ্যাকশন মুভিগুলিতে এশিয়ান অভিনেতাদের উপর একটি বিধিনিষেধ থাকা উচিত। এটি অবশ্যই থামবে।,তাদের সঠিক মনের কেউ এশিয়ান অভিনেতাদের অ্যাকশন মুভিতে দেখতে চাইবে না Asian এশিয়ান মার্শাল আর্টের প্রাচীন tradition তিহ্যটি একটি বিশাল ক্ষতি হবে!
1811,We are different: slant eyes denote stupid people.,"Even you own, perhaps limited, experience of others must have taught you that what you are saying is utter nonsense?",other,V3,আমরা আলাদা: স্লান্ট চোখ বোকা লোকদের বোঝায়।,"এমনকি আপনার নিজের, সম্ভবত সীমাবদ্ধ, অন্যের অভিজ্ঞতা অবশ্যই আপনাকে শিখিয়েছিল যে আপনি যা বলছেন তা একেবারেই বাজে কথা?"
1812,Asians are genetically inferior to other races.,There is no scientific evidence to support that Asians are genetically inferior.,other,V3,এশিয়ানরা অন্যান্য বর্ণের তুলনায় জিনগতভাবে নিকৃষ্ট।,এশিয়ানরা জিনগতভাবে নিকৃষ্টতর সমর্থন করার জন্য কোনও বৈজ্ঞানিক প্রমাণ নেই।
1813,Asians are genetically inferior to other races.,The concept of 'genetic inferiority' has nothing to do with scientific evidence.,other,V3,এশিয়ানরা অন্যান্য বর্ণের তুলনায় জিনগতভাবে নিকৃষ্ট।,'জেনেটিক হীনমন্যতা' ধারণার বৈজ্ঞানিক প্রমাণের সাথে কোনও সম্পর্ক নেই।
1814,Asians just want to talk with other asians: they are the racists in the first place.,"The idea that all Asians are racist is just a myth, it is just an excuse to justify racist policies.",other,V3,এশিয়ানরা কেবল অন্যান্য এশিয়ানদের সাথে কথা বলতে চায়: তারা প্রথম স্থানে বর্ণবাদী।,"সমস্ত এশিয়ান বর্ণবাদী এই ধারণাটি কেবল একটি কল্পকাহিনী, এটি বর্ণবাদী নীতিগুলি ন্যায়সঙ্গত করার একটি অজুহাত।"
1815,Persons with learning difficulties should be discouraged from attending secondary school and they should be excluded from education.,"Even if individuals with learning difficulties would be more likely to attend school with more efforts than others, it does not justify denying them education in the first place.",DISABLED,V3,শেখার অসুবিধা সহ ব্যক্তিদের মাধ্যমিক বিদ্যালয়ে অংশ নেওয়া থেকে নিরুৎসাহিত করা উচিত এবং তাদের শিক্ষা থেকে বাদ দেওয়া উচিত।,এমনকি যদি শেখার অসুবিধাগুলি সম্পন্ন ব্যক্তিরা অন্যদের তুলনায় আরও বেশি প্রচেষ্টা নিয়ে স্কুলে পড়াশোনা করার সম্ভাবনা বেশি থাকে তবে এটি তাদের প্রথম স্থানে শিক্ষাকে অস্বীকার করার ন্যায়সঙ্গত করে না।
1816,Persons with learning difficulties should be discouraged to attend primary school and they should be excluded from education.,Educational institutions should promote people with learning difficulties so that they can receive appropriate education. This is what primary education should be about.,DISABLED,V3,শেখার অসুবিধা সহ ব্যক্তিদের প্রাথমিক বিদ্যালয়ে পড়াশোনা করতে নিরুৎসাহিত করা উচিত এবং তাদের শিক্ষা থেকে বাদ দেওয়া উচিত।,শিক্ষাপ্রতিষ্ঠানগুলি শেখার অসুবিধাগুলি সহ লোকদের প্রচার করা উচিত যাতে তারা উপযুক্ত শিক্ষা গ্রহণ করতে পারে। এটিই প্রাথমিক শিক্ষা সম্পর্কে হওয়া উচিত।
1818,Persons with learning difficulties should be discouraged to attend primary school because they are not able to.,The process of primary school education is fairly simple and accessible to all.,DISABLED,V3,শেখার অসুবিধা সহ ব্যক্তিদের প্রাথমিক বিদ্যালয়ে পড়াশোনা করতে নিরুৎসাহিত করা উচিত কারণ তারা সক্ষম নয়।,প্রাথমিক বিদ্যালয়ের শিক্ষার প্রক্রিয়াটি মোটামুটি সহজ এবং সকলের কাছে অ্যাক্সেসযোগ্য।
1819,Persons with learning difficulties should be discouraged to attend primary school and they should be excluded from education.,Including students with learning difficulties in schools creates a link between pupils with different abilities and education in general.,DISABLED,V3,শেখার অসুবিধা সহ ব্যক্তিদের প্রাথমিক বিদ্যালয়ে পড়াশোনা করতে নিরুৎসাহিত করা উচিত এবং তাদের শিক্ষা থেকে বাদ দেওয়া উচিত।,বিদ্যালয়ে শেখার অসুবিধা সহ শিক্ষার্থীদের অন্তর্ভুক্ত করে সাধারণভাবে বিভিন্ন দক্ষতা এবং শিক্ষার সাথে শিক্ষার্থীদের মধ্যে একটি লিঙ্ক তৈরি করে।
1821,Persons with learning difficulties should be discouraged to attend primary school and they should be excluded from education.,"Education is about development and learning, so if disadvantaged people are excluded, then the education system would be about learning exclusion and discrimination.",DISABLED,V3,শেখার অসুবিধা সহ ব্যক্তিদের প্রাথমিক বিদ্যালয়ে পড়াশোনা করতে নিরুৎসাহিত করা উচিত এবং তাদের শিক্ষা থেকে বাদ দেওয়া উচিত।,"শিক্ষা উন্নয়ন এবং শেখার বিষয়ে, সুতরাং যদি সুবিধাবঞ্চিত মানুষকে বাদ দেওয়া হয়, তবে শিক্ষাব্যবস্থা বর্জন এবং বৈষম্য শেখার বিষয়ে হবে।"
1822,"The handicapped are different from us, I don't want to be bothered.","It doesn't matter if you think we are different. It is important to remember that there are many different ways of being a human being. And if you wish to include all people, then you have to accept differences.",DISABLED,V3,"প্রতিবন্ধী আমাদের থেকে আলাদা, আমি বিরক্ত হতে চাই না।",আপনি যদি ভাবেন যে আমরা আলাদা। এটি মনে রাখা গুরুত্বপূর্ণ যে মানুষ হওয়ার বিভিন্ন উপায় রয়েছে। এবং যদি আপনি সমস্ত লোককে অন্তর্ভুক্ত করতে চান তবে আপনাকে পার্থক্য গ্রহণ করতে হবে।
1824,Jews are a cancer in our society: we should find a solution.,"You're probably referring to the Holocaust, the biggest genocide in history: are you aware of that?",JEWS,V3,ইহুদিরা আমাদের সমাজে একটি ক্যান্সার: আমাদের একটি সমাধান পাওয়া উচিত।,"আপনি সম্ভবত হলোকাস্টের কথা উল্লেখ করছেন, ইতিহাসের বৃহত্তম গণহত্যা: আপনি কি সে সম্পর্কে অবগত আছেন?"
1827,The Holocaust was a hoax created by Jews to subdue the world and replace Christ with their own version of a benevolent dictator.,What you are saying is 'that the Jews are responsible for the Holocaust'... Are you serious? Does it seem reasonable to you?,JEWS,V3,হলোকাস্ট হ'ল ইহুদিদের দ্বারা বিশ্বকে বশীভূত করার জন্য এবং খ্রিস্টকে তাদেরকে একজন দানশীল স্বৈরশাসকের নিজস্ব সংস্করণ দিয়ে প্রতিস্থাপনের জন্য তৈরি করা একটি প্রতারণা ছিল।,আপনি যা বলছেন তা হ'ল 'ইহুদিরা হলোকাস্টের জন্য দায়ী' ... আপনি কি গুরুতর? এটি কি আপনার কাছে যুক্তিসঙ্গত বলে মনে হচ্ছে?
