prefix,input_text,target_text
counterspeech,"জায়নিস্ট উগ্রবাদীরা জেরুজালেমে ষড়যন্ত্র করে। তাদের উদ্দেশ্যগুলি হ'ল বিশৃঙ্খলা, হত্যাযজ্ঞ, হত্যা, আরও শরণার্থী তৈরি করা এবং ইউরোপকে ধ্বংস করা।",এটি দাবি করার জন্য আপনার প্রমাণ কী?
counterspeech,যদি আমাদের পুরো শাসক শ্রেণিতে জে-নিয়ন্ত্রিত পেডোফিলগুলি থাকে? ইহা অনেক কিছুই ব্যাখ্যা করে।,এটা কি ব্যাখ্যা করবে? এই মন্তব্যটি খুব অস্পষ্ট আমি ভাবছি যদি আপনার এমন কোনও তথ্য থাকে যা আপনাকে এটি অবাক করে তোলে।
counterspeech,গ্লোবাল ইহুদি ব্রেক্সিট চায়নি এবং এটি নাশকতার জন্য যথাসাধ্য চেষ্টা করছে।,এটা চিন্তা করছো কেন? এটিকে ব্যাক আপ করার জন্য আপনার কি কোনও তথ্য আছে?
counterspeech,"তুমি কে? আমরা যোনি মিসানড্রিস্টদের সাদা শক্তিশালী মেককে ক্ষুন্ন করার চেষ্টা করে গামিকুল অসুস্থ, যখন তারা নিজেরাই কেবল vious র্ষা, অযোগ্য এবং অকেজো।","তাদের মন খারাপ করে বা কথা বলতে? হ্যাঁ, মহিলাদের মন রয়েছে এবং তারা পুরুষদের পাশাপাশি কাজ করে।"
counterspeech,যেহেতু যৌন অঙ্গ হিসাবে মলদ্বারকে গালি দেওয়া একটি ‘স্মৃতিসৌধীয় কৃতিত্ব’ ছিল? এটি রাজ্য কার্যকর সমকামিতা! হতে পারে আমাদের আমাদের মূলমন্ত্রটি ‘সুদ ও সোডমিতে আমরা বিশ্বাস করি (বতসোয়ানা সমকামিতা ডিক্রিমিনালাইজ করার জবাবে) পরিবর্তন করা উচিত),আমরা যে অনুশীলনগুলিতে অংশ নিই না তা চিনতে এবং গ্রহণ করার জন্য রাষ্ট্রীয় তথ্য নয়। এটি কেবল তথ্য উল্লেখ করে এবং বিভিন্ন পছন্দ রয়েছে এমন লোকদের উপর অত্যাচার বন্ধ করে দিচ্ছে।
counterspeech,"এ কারণেই মহিলারা রাজনীতিতে অন্তর্ভুক্ত নন, যদি কোনও ব্যক্তি তাদের মতো অভিযোগ করে, তবে তাকে কাপুরুষ বলা হবে এবং চাকরি থেকে নরককে বের করে আনতে বলা হবে। সমতা একটি মিথ্যা এবং নারীবাদ যে কোনও সভ্যতার মৃত্যুদণ্ড।","আরও ইতিবাচক রাজনৈতিক পরিবেশ থাকা, অন্তর্ভুক্তি এবং সমস্ত ধরণের লোকের প্রতিনিধিত্ব করা প্রয়োজনীয়, সুতরাং মহিলারা রাজনীতিতে অন্তর্ভুক্ত হন"
counterspeech,পাকিস্তান: 202 মিলিয়ন নাইজেরিয়া: 193 মিলিয়ন বাংলাদেশ: 165 মিলিয়ন ইথিওপিয়া: 107 মিলিয়ন কঙ্গো: 84 মিলিয়ন গ্রেট ব্রিটেন: 66 মিলিয়ন 'জাতিগত সংখ্যালঘু' আমাকে হাসায় না!,"এই গোষ্ঠীগুলি ব্রিটিশ ভাষায় সংখ্যালঘু হতে থাকে। যেভাবেই হোক, প্রত্যেকে শ্রদ্ধা ও সুরক্ষা এবং মানবাধিকারের দাবিদার।"
counterspeech,পাকিস্তান: 202 মিলিয়ন নাইজেরিয়া: 193 মিলিয়ন বাংলাদেশ: 165 মিলিয়ন ইথিওপিয়া: 107 মিলিয়ন কঙ্গো: 84 মিলিয়ন গ্রেট ব্রিটেন: 66 মিলিয়ন 'জাতিগত সংখ্যালঘু' আমাকে হাসায় না!,"এগুলি জাতিগত গোষ্ঠী নয়, দেশগুলির সংখ্যা।"
counterspeech,"যখন আপনি প্রাণীগুলি পৃথিবীকে ধ্বংস করে দিয়েছেন এবং একে অপরকে খাচ্ছেন, কারণ এটিই আপনার পক্ষে ভাল, আমরা এখনও এখানে থাকব, আমাদের ব্লাডলাইনগুলি সমস্ত প্রতিকূলতার বিরুদ্ধে খাঁটি রাখব, যেদিন আমরা মহিলাফোককে মনোযোগ দিয়েছি এবং আপনার হিলগুলি আপনার কাছ থেকে সরিয়ে নিয়েছি তার জন্য আফসোস করে গলা",উইমেনফোকের জ্ঞান রয়েছে বলে মনে হয় এবং কিছুটা হৃদয় নয়।
counterspeech,তাদের সিনেমা নিষিদ্ধ ও পরিচালকদের সেন্সর করার ক্ষমতা হ'ল ইহুদিরা হলিউডকে নিয়ন্ত্রণ করে।,"এই শিল্পের অতি ধনী ব্যক্তি - ইহুদি বা না - শক্তি এবং প্রভাব আছে। ইহুদিদের সম্পর্কে আপনার সত্যতা কোথায় পেয়েছেন তা নিশ্চিত নন যা হলিউডের ""নিয়ন্ত্রণ"" করে।"
counterspeech,নারীবাদীরা জিতেছে। অনেক মহিলা প্রাক্কলিত করতে ইচ্ছুক না হওয়ায় আমরা প্রতিস্থাপন করব এবং সভ্যতা হারাব।,"'নারীবাদ' শব্দটি সমস্ত লিঙ্গের সমান অধিকারের জন্য লড়াই করছে, আপনি দেখতে পাবেন যে আপনিও একজন নারীবাদী হিসাবে চিহ্নিত হন। নারীবাদী আন্দোলন কীভাবে আপনার উপকার করতে পারে সে সম্পর্কে আরও জানতে নিম্নলিখিত কয়েকটি সাইট চেষ্টা করুন: নারীবাদী ডটকম, মাইন্ড.আর.ইউকে 'ম্যান আপ ক্যাম্পেইন' সম্পর্কে আরও পড়ুন"
counterspeech,"মহিলারা মূলত শিশুদের মতো, তারা তাদের জীবনের বেশিরভাগ সময় এভাবে থাকে। নরম এবং সংবেদনশীল। এটি আমাদের একসময় মহান পিতৃতান্ত্রিক সভ্যতা ধ্বংস করে দিয়েছে।",পিতৃতন্ত্র মানুষের বন্ধু নয়। ছেলেরা এবং পুরুষদের শক্ত হতে বলা হয় এবং কোনও আবেগ দেখাতে বা তাদের সংগ্রাম সম্পর্কে কথা বলতে না পেরে অনেকগুলি বোঝা বহন করা হয়। এর ফলে আত্মহত্যা অ্যামংস্ট পুরুষদের প্রচুর মাত্রায় পরিণত হয়েছে। আমাদের পার্থক্য এবং মিলগুলি গ্রহণ করা এবং একসাথে কাজ করা বেঁচে থাকা এবং সুখের একটি প্রশ্ন।
counterspeech,নাৎসিরা ইহুদিদের হত্যা করতে চুষে ফেলেছিল ... আপনি যেখানেই দেখেন সেখানে একজন হলোকাস্টের বেঁচে আছেন।,নাৎসি কিলিং মেশিনটি খুব দক্ষ ছিল। জীবিতরা এতটা হারিয়েছিল এবং সন্ত্রাস ও নিষ্ঠুরতা সাহসী হয়েছিল। তারা উদযাপিত করা উচিত।
counterspeech,নাৎসিরা ইহুদিদের হত্যা করতে চুষে ফেলেছিল ... আপনি যেখানেই দেখেন সেখানে একজন হলোকাস্টের বেঁচে আছেন।,প্রায় million মিলিয়ন ইহুদি হত্যার বিষয়টি গণহত্যার স্কেল দেখায়। এটি হওয়ার চেয়ে 6 মিলিয়ন বেশি।
counterspeech,"যুক্তরাজ্য সরকার সম্প্রতি ‘অনলাইন হার্মস’ সম্পর্কিত একটি কাগজ প্রকাশ করেছে-অন্য কথায় তারা ইহুদি এবং মুসলিম বিরোধী-ঘৃণ্য সংস্থাগুলির সাথে ইন্টারনেট সেন্সর করার জন্য কাজ করতে চলেছে। (মামা, সিএসটি এবং স্টপ হেট ইউকে বলুন বলে উল্লেখ করে)",ইন্টারনেট মানুষের ঘৃণ্য দৃষ্টিভঙ্গির জন্য একটি চিৎকার প্ল্যাটফর্মে পরিণত হয়েছে। অবশ্যই কিছু করা দরকার যেহেতু লোকেরা তাদের শব্দগুলি নিজেরাই মাঝারি করতে সক্ষম হয় না বলে মনে হয়।
counterspeech,"মহিলারা মূলত শিশুদের মতো, তারা তাদের জীবনের বেশিরভাগ সময় এভাবে থাকে। নরম এবং সংবেদনশীল। এটি আমাদের একসময় মহান পিতৃতান্ত্রিক সভ্যতা ধ্বংস করে দিয়েছে।","নরম এবং ইমোটিভাল 'ব্যক্তিত্বের বৈশিষ্ট্য, আমি কি আপনি #হেফোরশে আন্দোলনটি পড়তে পারি যা পুরুষ এবং মহিলাদের জন্য সমান অধিকারের জন্য কাজ করে এবং পুরুষদের আবেগ দেখিয়ে পুরুষের চারপাশে কলঙ্ক বন্ধ করার লক্ষ্য রাখে।"
counterspeech,পাকিস্তান: 202 মিলিয়ন নাইজেরিয়া: 193 মিলিয়ন বাংলাদেশ: 165 মিলিয়ন ইথিওপিয়া: 107 মিলিয়ন কঙ্গো: 84 মিলিয়ন গ্রেট ব্রিটেন: 66 মিলিয়ন 'জাতিগত সংখ্যালঘু' আমাকে হাসায় না!,কখন থেকে গ্রেট ব্রিটেন একটি জাতিগত গোষ্ঠী ছিল? বা এই বিষয়ে পাকিস্তান। বা নাইজেরিয়া ... ইত্যাদি
counterspeech,যেহেতু যৌন অঙ্গ হিসাবে মলদ্বারকে গালি দেওয়া একটি ‘স্মৃতিসৌধীয় কৃতিত্ব’ ছিল? এটি রাজ্য কার্যকর সমকামিতা! হতে পারে আমাদের আমাদের মূলমন্ত্রটি ‘সুদ ও সোডমিতে আমরা বিশ্বাস করি (বতসোয়ানা সমকামিতা ডিক্রিমিনালাইজ করার জবাবে) পরিবর্তন করা উচিত),আমাদের থেকে আলাদা এবং তাদের ব্যক্তিগত ক্রিয়াকলাপে কাউকে ক্ষতি না করা লোকদের প্রতি শ্রদ্ধা হ'ল নিপীড়নের ইতিহাস সহ যে কোনও দেশে একটি স্মরণীয় কৃতিত্ব।
counterspeech,নারীবাদীরা জিতেছে। অনেক মহিলা প্রাক্কলিত করতে ইচ্ছুক না হওয়ায় আমরা প্রতিস্থাপন করব এবং আমাদের সভ্যতা হারাব।,ঠিক কি দ্বারা প্রতিস্থাপন? আমি মনে করি আমাদের জনসংখ্যা ঠিক হয়ে যাবে।
counterspeech,‘জুস (ইহুদিরা) এর চেয়ে খারাপ যে নুকস’,সত্যিই? আমি যে কোনও দিন ইহুদিদের একটি গ্রুপের সাথে বসে থাকতাম।
counterspeech,"আমাকে হাসতে হাসতে বাধ্য করে, কেন বেশিরভাগ সাদা দেশে সাদাগুলি সর্বোচ্চ হওয়া উচিত নয়? কীভাবে কেউ সোমালিয়ার মতো কৃষ্ণাঙ্গ দেশগুলিতে কালো আধিপত্য সম্পর্কে বিলাপ করছে না? নাকি মেক্সিকান আধিপত্য? নাকি ভারতীয় আধিপত্য? কেবল আমরা এই চোদার বুলশিট সহ্য করি।",সম্ভবত আপনি যে দেশগুলি উদ্ধৃত করেছেন সেগুলি অন্যান্য জাতীয়তার আরও বেশি গ্রহণযোগ্য।
counterspeech,"জায়নিস্ট উগ্রবাদীরা জেরুজালেমে ষড়যন্ত্র করে। তাদের উদ্দেশ্যগুলি হ'ল বিশৃঙ্খলা, হত্যাযজ্ঞ, হত্যা, আরও শরণার্থী তৈরি করা এবং ইউরোপকে ধ্বংস করা।",অথবা তারা চায় তাদের সংস্কৃতি বেঁচে থাকতে পারে।
counterspeech,‘জুস (ইহুদিরা) এর চেয়ে খারাপ যে নুকস’,"আমি নিশ্চিত যে আমি একমত নই, আমি কোনও ইহুদি ব্যক্তির দ্বারা হুমকির মুখোমুখি হইনি, যদিও আমি পারমাণবিক যুদ্ধে বেশ ভয় পেয়েছি।"
counterspeech,যেহেতু যৌন অঙ্গ হিসাবে মলদ্বারকে গালি দেওয়া একটি ‘স্মৃতিসৌধীয় কৃতিত্ব’ ছিল? এটি রাজ্য কার্যকর সমকামিতা! হতে পারে আমাদের আমাদের মূলমন্ত্রটি ‘সুদ ও সোডমিতে আমরা বিশ্বাস করি (বতসোয়ানা সমকামিতা ডিক্রিমিনালাইজ করার জবাবে) পরিবর্তন করা উচিত),কেউ এখানে অংশ নিতে চান না এমন অনুশীলনগুলিতে কাউকে বাধ্য করছেন না।
counterspeech,গ্লোবাল ইহুদি ব্রেক্সিট চায়নি এবং এটি নাশকতার জন্য যথাসাধ্য চেষ্টা করছে।,আমার পুরো পরিবার ব্রেক্সিটের বিরুদ্ধে ভোট দিয়েছিল এবং আমরা ইহুদি নই।
counterspeech,ইহুদিরা একমাত্র দেশকে ঘৃণা করে না তাদের নিজস্ব এবং তারা আফ্রিকান এবং মুসলমানদের সাথে ইউরোপে প্লাবিত হচ্ছে।,"আমার সেরা বন্ধু ইহুদি, তিনি মহিলা এবং সুবিধাবঞ্চিত শিশুদের সহায়তা করার জন্য স্বেচ্ছাসেবক এবং তার পুরো পরিবার যুক্তরাজ্যকে আরও ভাল জায়গা করার জন্য কাজ করে।"
counterspeech,ইউকে -তে বিদেশীরা 5 বছরে 41% লাফিয়ে 400 কে এরও বেশি অর্থ প্রদানের অর্থ প্রদান করে। এই বাজে কথা থামতে হবে।,"সম্ভবত যুক্তরাজ্যের সুবিধার্থে দাবিদারদের এ জাতীয় উত্থানের কারণ অসম সুযোগ এবং কাজের সুযোগের অভাবের কারণে এবং এটি কেবল 'বিদেশি' নয়, সবার জন্যই যায়।"
counterspeech,"আমাকে হাসতে হাসতে বাধ্য করে, কেন বেশিরভাগ সাদা দেশে সাদাগুলি সর্বোচ্চ হওয়া উচিত নয়? কীভাবে কেউ সোমালিয়ার মতো কৃষ্ণাঙ্গ দেশগুলিতে কালো আধিপত্য সম্পর্কে বিলাপ করছে না? নাকি মেক্সিকান আধিপত্য? নাকি ভারতীয় আধিপত্য? কেবল আমরা এই চোদার বুলশিট সহ্য করি।","হতে পারে শতাব্দী গণ colon পনিবেশিকরণ, দাসত্ব এবং অন্যের উপর আধিপত্য থেকে প্রাপ্ত সাদা আধিপত্যের শিকড়গুলি হ'ল হোয়াইট আধিপত্য এমন সমস্যা।"
counterspeech,ইউকে -তে বিদেশীরা 5 বছরে 41% লাফিয়ে 400 কে এরও বেশি অর্থ প্রদানের অর্থ প্রদান করে। এই বাজে কথা থামতে হবে।,"এটি 'বিদেশীদের' চেয়ে বেশি যারা সাহায্যের জন্য জিজ্ঞাসা করছেন, সাদা ব্রিটিশ পরিবারগুলি সমস্ত জাতিগত গোষ্ঠীর মধ্যে সম্ভবত রাষ্ট্রীয় সমর্থন পাওয়ার জন্য সবচেয়ে বেশি, 57% এটি করে।"
counterspeech,তাদের সিনেমা নিষিদ্ধ ও পরিচালকদের সেন্সর করার ক্ষমতা হ'ল ইহুদিরা হলিউডকে নিয়ন্ত্রণ করে।,যদি ইহুদি সম্প্রদায় এই ধরণের শিল্পগুলি নিয়ন্ত্রণ করে থাকে তবে তারা অবশ্যই ইহুদিদের উদ্বেগের একটি উচ্চ অগ্রাধিকার দেবে? তবে আমেরিকান মিডিয়ায় ইস্রায়েলের বিরোধী অনেকগুলি বিবরণ রয়েছে। সুতরাং এটি বোঝা যায় না।
counterspeech,ইহুদিরা একমাত্র দেশকে ঘৃণা করে না তাদের নিজস্ব এবং তারা আফ্রিকান এবং মুসলমানদের সাথে ইউরোপে প্লাবিত হচ্ছে।,আমি অবাক হই যে আপনি কীভাবে শরণার্থীদের জন্য যারা যুদ্ধ থেকে পালিয়ে যাচ্ছেন এবং তাদের নিজের এবং তাদের পরিবারের সুরক্ষার অভাবের জন্য অ্যাকাউন্ট করেন। যুদ্ধগুলি যা প্রায়শই প্রত্যক্ষ বা অপ্রত্যক্ষভাবে পশ্চিমা শক্তিগুলির দ্বারা সৃষ্ট যারা বিদেশে দীর্ঘস্থায়ী সমস্যা তৈরি করে।
counterspeech,গ্লোবাল ইহুদি ব্রেক্সিট চায়নি এবং এটি নাশকতার জন্য যথাসাধ্য চেষ্টা করছে।,আমি ব্রেক্সিটকেও চাইনি এবং আমি ইহুদী নই।
counterspeech,ইউকে -তে বিদেশীরা 5 বছরে 41% লাফিয়ে 400 কে এরও বেশি অর্থ প্রদানের অর্থ প্রদান করে। এই বাজে কথা থামতে হবে।,"আমি বুঝতে পারি যে আপনি হতাশ হয়েছেন - কঠোরতা আমাদের অনেককে ভয়াবহভাবে আঘাত করেছে, তবে আপনার দোষটি ভুল লোকদের কাছে পরিচালিত হয়েছে। অভিবাসীরা পরিসংখ্যানগতভাবে সুবিধাগুলি দাবি করার সম্ভাবনা কম, পাশাপাশি এগুলি যেভাবেই অ্যাক্সেস করা সহজ নয়। বেশিরভাগ লোকেরা যুক্তরাজ্যে সুবিধাগুলি গ্রহণ করে আসলে কাজ করে, আপনার ক্রোধকে আরও ভাল বেতন এবং শর্তের দিকে পরিচালিত করে!"
counterspeech,"আমাকে হাসতে হাসতে বাধ্য করে, কেন বেশিরভাগ সাদা দেশে সাদাগুলি সর্বোচ্চ হওয়া উচিত নয়? কীভাবে কেউ সোমালিয়ার মতো কৃষ্ণাঙ্গ দেশগুলিতে কালো আধিপত্য সম্পর্কে বিলাপ করছে না? নাকি মেক্সিকান আধিপত্য? নাকি ভারতীয় আধিপত্য? কেবল আমরা এই চোদার বুলশিট সহ্য করি।",আপনি কি আধিপত্যের চেয়ে সমতা বিবেচনা করেছেন? একটি বুদ্ধিমান বিকল্প মত মনে হয়
counterspeech,"এ কারণেই মহিলারা রাজনীতিতে অন্তর্ভুক্ত নন, যদি কোনও ব্যক্তি তাদের মতো অভিযোগ করে, তবে তাকে কাপুরুষ বলা হবে এবং চাকরি থেকে নরককে বের করে আনতে বলা হবে। সমতা একটি মিথ্যা এবং নারীবাদ যে কোনও সভ্যতার মৃত্যুদণ্ড।",লিঙ্গ সমতা একটি উত্পাদনশীল পরিবারের পাশাপাশি সামগ্রিকভাবে অর্থনীতির মূল চাবিকাঠি। নারীদের সমাজের সমস্ত ক্ষেত্রে প্রবেশ করা থেকে সীমাবদ্ধ করা হ'ল যে কোনও দেশের সম্ভাবনা হ্রাস করা।
counterspeech,নারীবাদীরা জিতেছে। অনেক মহিলা প্রাক্কলিত করতে ইচ্ছুক না হওয়ায় আমরা প্রতিস্থাপন করব এবং সভ্যতা হারাব।,নারীবাদ পুরুষ এবং মহিলাদের মধ্যে সমান অধিকার সম্পর্কে এবং পুরুষ এবং মহিলা উভয়ের উপর সামাজিকভাবে চাপানো বোঝা চ্যালেঞ্জ।
counterspeech,যদি আমাদের পুরো শাসক শ্রেণিতে জে-নিয়ন্ত্রিত পেডোফিলগুলি থাকে? ইহা অনেক কিছুই ব্যাখ্যা করে।,ঠিক কি ব্যাখ্যা?
counterspeech,পাকিস্তান: 202 মিলিয়ন নাইজেরিয়া: 193 মিলিয়ন বাংলাদেশ: 165 মিলিয়ন ইথিওপিয়া: 107 মিলিয়ন কঙ্গো: 84 মিলিয়ন গ্রেট ব্রিটেন: 66 মিলিয়ন 'জাতিগত সংখ্যালঘু' আমাকে হাসায় না!,"জাতিগত সংখ্যালঘুরা একটি নির্দিষ্ট প্রসঙ্গে ব্যবহৃত একটি শব্দ, উদাহরণস্বরূপ, যুক্তরাজ্যে, এই দেশগুলির লোকেরা সংখ্যালঘু।"
counterspeech,"এ কারণেই মহিলারা রাজনীতিতে অন্তর্ভুক্ত নন, যদি কোনও ব্যক্তি তাদের মতো অভিযোগ করে, তবে তাকে কাপুরুষ বলা হবে এবং চাকরি থেকে নরককে বের করে আনতে বলা হবে। সমতা একটি মিথ্যা এবং নারীবাদ যে কোনও সভ্যতার মৃত্যুদণ্ড।",সাম্যের অর্থ হ'ল একজন মানুষকে কাপুরুষ বলা হবে না। মহিলাদের রাজনীতির জগতের প্রচুর পরিমাণে এবং অন্য কারও মতো অংশ নেওয়ার অধিকারের পরিমাণ রয়েছে।
counterspeech,"ইহুদিরা করেছে: ইউএসএস লিবার্টি অ্যাটাক, দ্য কিং ডেভিড হোটেল অ্যাটাক, নিউ ইয়র্ক 9/11, লন্ডন 7/7",আপনার কোন প্রমাণ আছে?
counterspeech,সমকামী হওয়া অবশ্যই কঠিন হতে হবে। তাদের আমরা যা কিছু করতে পারি তা করতে হবে তবে বাচ্চাদের শ্লীলতাহানির জন্য সময়ও খুঁজে পাই।,"শিশু শ্লীলতাহানকারীরা সকলেই সমকামী নয়, যেমন পুরুষরা সবাই ধর্ষক নয়।"
counterspeech,তাদের সিনেমা নিষিদ্ধ ও পরিচালকদের সেন্সর করার ক্ষমতা হ'ল ইহুদিরা হলিউডকে নিয়ন্ত্রণ করে।,"সেন্সর এবং নিষেধাজ্ঞাগুলি ক্ষতিকারক বিষয়বস্তু দেখতে দুর্বলদের রক্ষা করে। এমন খারাপ জিনিস নয়, যে কেউ এটি করে।"
counterspeech,গ্লোবাল ইহুদি ব্রেক্সিট চায়নি এবং এটি নাশকতার জন্য যথাসাধ্য চেষ্টা করছে।,"ব্রেক্সিট আমাদের অনেকের জন্য ক্ষতিকারক হবে, প্রচুর লোকেরা এর বিরোধিতা করে।"
counterspeech,গ্লোবাল ইহুদি ব্রেক্সিট চায়নি এবং এটি নাশকতার জন্য যথাসাধ্য চেষ্টা করছে।,ব্রেক্সিট কি তখন ভাল জিনিস?
counterspeech,ইউকে -তে বিদেশীরা 5 বছরে 41% লাফিয়ে 400 কে এরও বেশি অর্থ প্রদানের অর্থ প্রদান করে। এই বাজে কথা থামতে হবে।,"সুবিধাগুলি প্রত্যেককে সহায়তা করার জন্য তৈরি করা একটি জিনিস, প্রতিটি জাতি তাদের জীবনযাপন করার জন্য দাবি করতে পারে এটি 'বিদেশীদের' জন্য বিশেষভাবে কোনও জিনিস নয়"
counterspeech,একটি গরু এবং হলোকাস্টের মধ্যে পার্থক্য কী? আপনি 70 বছর পরে গরু দুধ বন্ধ করা বন্ধ করুন।,আপনি কি হলোকাস্টের পর থেকে ঘটে যাওয়া সমস্ত গণহত্যা সম্পর্কে সচেতন?।
counterspeech,"আমাকে হাসতে হাসতে বাধ্য করে, কেন বেশিরভাগ সাদা দেশে সাদাগুলি সর্বোচ্চ হওয়া উচিত নয়? কীভাবে কেউ সোমালিয়ার মতো কৃষ্ণাঙ্গ দেশগুলিতে কালো আধিপত্য সম্পর্কে বিলাপ করছে না? নাকি মেক্সিকান আধিপত্য? নাকি ভারতীয় আধিপত্য? কেবল আমরা এই চোদার বুলশিট সহ্য করি।","একটি নির্দিষ্ট জাতি বা জাতিগততার অন্যের চেয়ে উচ্চতর হওয়ার কোনও বিশ্বাস কেবল সাদা আধিপত্য নয়, সমস্যাযুক্ত।"
